source_column,action,target,reason,nonempty_rows,coverage
listing_id,KEEP,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
listing_type,KEEP,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
posted_date,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
expiry_date,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
property_type,KEEP,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
city_province,KEEP,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
district,DROP_DUPLICATE_DERIVED,,Duplicated or superseded by a canonical final field.,3037,100.00%
Folder,DROP_RAW_PIPELINE,,"Raw folder/link/legacy field used during collection or enrichment, not graph semantics.",3037,100.00%
title,KEEP,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
address,KEEP,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
old_address,DROP_RAW_PIPELINE,,"Raw folder/link/legacy field used during collection or enrichment, not graph semantics.",3037,100.00%
location_link,DROP_RAW_PIPELINE,,"Raw folder/link/legacy field used during collection or enrichment, not graph semantics.",3037,100.00%
latitude_longitude,DROP_DUPLICATE_DERIVED,,Duplicated or superseded by a canonical final field.,3037,100.00%
description,KEEP,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
area_price_history,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,2986,98.32%
price_range,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
area,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
bedrooms,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,2697,88.80%
bathrooms,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,2574,84.75%
legal_status,KEEP,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
furnishing,KEEP,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
balcony_direction,KEEP,filtered master; graph node/edge files,Required as graph property or relationship attribute.,551,18.14%
house_direction,KEEP,filtered master; graph node/edge files,Required as graph property or relationship attribute.,829,27.30%
pool,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
gym,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
park,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
bbq,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
kids_playground,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
sports_court,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
security_24h,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
reception,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
elevator,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
parking,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
near_metro,DROP_NOISY_LEGACY,,Text-extracted proximity flag is noisy and superseded by computed driving-distance fields.,3037,100.00%
near_bus,DROP_NOISY_LEGACY,,Text-extracted proximity flag is noisy and superseded by computed driving-distance fields.,3037,100.00%
near_highway,DROP_NOISY_LEGACY,,Text-extracted proximity flag is noisy and superseded by computed driving-distance fields.,3037,100.00%
near_school,DROP_NOISY_LEGACY,,Text-extracted proximity flag is noisy and superseded by computed driving-distance fields.,3037,100.00%
near_hospital,DROP_NOISY_LEGACY,,Text-extracted proximity flag is noisy and superseded by computed driving-distance fields.,3037,100.00%
near_mall,DROP_NOISY_LEGACY,,Text-extracted proximity flag is noisy and superseded by computed driving-distance fields.,3037,100.00%
near_market,DROP_NOISY_LEGACY,,Text-extracted proximity flag is noisy and superseded by computed driving-distance fields.,3037,100.00%
near_park,DROP_NOISY_LEGACY,,Text-extracted proximity flag is noisy and superseded by computed driving-distance fields.,3037,100.00%
river_view,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
park_view,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
city_view,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
balcony,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
garden,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
garage,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
terrace,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
frontage,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,1948,64.14%
access_road,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,1780,58.61%
latitude_original,DROP_DUPLICATE_DERIVED,,Duplicated or superseded by a canonical final field.,3037,100.00%
longitude_original,DROP_DUPLICATE_DERIVED,,Duplicated or superseded by a canonical final field.,3037,100.00%
latitude,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
longitude,KEEP_NORMALIZED,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
coordinate_status,KEEP,filtered master; graph node/edge files,Required as graph property or relationship attribute.,3037,100.00%
coordinate_source,DROP_TRACE_AUDIT,,"Pipeline source, routing source, street-source or enrichment timestamp; not required at graph runtime.",3037,100.00%
