:START_ID(Street),:END_ID(Ward),:TYPE
street|002345283dca4a,ward|ho-chi-minh|phuong-binh-trung,IN_WARD
street|00254e98946ac0,ward|ho-chi-minh|phuong-binh-trung,IN_WARD
street|004027f6b00ee2,ward|ho-chi-minh|phuong-an-hoi-tay,IN_WARD
street|004d4a323bb379,ward|ho-chi-minh|phuong-an-lac,IN_WARD
street|006ac862599335,ward|ho-chi-minh|phuong-ong-hung-thuan,IN_WARD
street|007816a24c1b9f,ward|ho-chi-minh|phuong-binh-tri-ong,IN_WARD
street|007e6d2414232e,ward|ho-chi-minh|phuong-tan-thuan,IN_WARD
street|0120656527c2a8,ward|ho-chi-minh|phuong-an-lac,IN_WARD
street|017e7e66f1d738,ward|ho-chi-minh|phuong-chanh-hung,IN_WARD
street|0182fa65ebcbe8,ward|ho-chi-minh|phuong-an-phu-ong,IN_WARD
street|029cbf98e4d9e0,ward|ho-chi-minh|phuong-ben-thanh,IN_WARD
street|02b5205b6d9822,ward|ho-chi-minh|phuong-ong-hung-thuan,IN_WARD
street|02c299b770202d,ward|ho-chi-minh|phuong-binh-tan,IN_WARD
street|02c978ede2c39f,ward|ho-chi-minh|phuong-xom-chieu,IN_WARD
street|02cd4266381ff9,ward|ho-chi-minh|phuong-phu-thanh,IN_WARD
street|02ef629cebb04d,ward|ho-chi-minh|phuong-uc-nhuan,IN_WARD
street|03968ce3503d9e,ward|ho-chi-minh|phuong-an-lac,IN_WARD
street|03ab2e3a1d7248,ward|ho-chi-minh|phuong-hiep-binh,IN_WARD
street|03ac3f377191d6,ward|ho-chi-minh|phuong-an-lac,IN_WARD
street|040ada393fe60a,ward|ho-chi-minh|phuong-chanh-hiep,IN_WARD
street|042b45e5b75b5f,ward|ho-chi-minh|phuong-trung-my-tay,IN_WARD
street|044f795b9b6534,ward|ho-chi-minh|phuong-phuoc-long,IN_WARD
street|04a885f47d0517,ward|ho-chi-minh|phuong-trung-my-tay,IN_WARD
street|054d42cd498a51,ward|ho-chi-minh|phuong-thong-tay-hoi,IN_WARD
street|054eda949d2cdb,ward|ho-chi-minh|phuong-tay-thanh,IN_WARD
street|055805e2b4c6cf,ward|ho-chi-minh|phuong-tam-thang,IN_WARD
street|05b88c577a4530,ward|ho-chi-minh|phuong-ban-co,IN_WARD
street|05c8876c1014fd,ward|ho-chi-minh|phuong-gia-inh,IN_WARD
street|05e9a59a3a1610,ward|ho-chi-minh|phuong-khanh-hoi,IN_WARD
street|066338520f14bb,ward|ho-chi-minh|phuong-cau-ong-lanh,IN_WARD
street|06721ddc993b43,ward|ho-chi-minh|phuong-xom-chieu,IN_WARD
street|0683794765faac,ward|ho-chi-minh|phuong-uc-nhuan,IN_WARD
street|070a49526f7633,ward|ho-chi-minh|phuong-hoa-hung,IN_WARD
street|074f5206abcf94,ward|ho-chi-minh|phuong-an-ong,IN_WARD
street|079e1cebed0500,ward|ho-chi-minh|phuong-an-lac,IN_WARD
street|0823098b876f6c,ward|ho-chi-minh|phuong-hanh-thong,IN_WARD
street|084694dcd11532,ward|ho-chi-minh|phuong-linh-xuan,IN_WARD
street|0868b298b0c0fb,ward|ho-chi-minh|phuong-an-lac,IN_WARD
street|086f817bd39a1e,ward|ho-chi-minh|phuong-gia-inh,IN_WARD
street|088b0cacffb082,ward|ho-chi-minh|xa-ho-tram,IN_WARD
street|088e098ec83bca,ward|ho-chi-minh|phuong-an-hoi-ong,IN_WARD
street|08a371ded0dcdd,ward|ho-chi-minh|phuong-hiep-binh,IN_WARD
