ward_id:ID(Ward),name:string,ward_type:string,former_admin_area:string,city_province:string,:LABEL
ward|ho-chi-minh|phuong-an-hoi-ong,An Hội Đông,phường,Quận Gò Vấp,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-an-hoi-tay,An Hội Tây,phường,Quận Gò Vấp,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-an-khanh,An Khánh,phường,Quận 2,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-an-lac,An Lạc,phường,Quận Bình Tân,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-an-nhon,An Nhơn,phường,Quận Gò Vấp,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-an-ong,An Đông,phường,Quận 5,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-an-phu-ong,An Phú Đông,phường,Quận 12,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-ban-co,Bàn Cờ,phường,Quận 3,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-bay-hien,Bảy Hiền,phường,Quận Tân Bình,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-ben-thanh,Bến Thành,phường,Quận 1,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-binh-duong,Bình Dương,phường,Thành Phố Thủ Dầu Một,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-binh-hoa,Bình Hòa,phường,Thành Phố Thuận An,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-binh-hung-hoa,Bình Hưng Hòa,phường,Quận Bình Tân,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-binh-loi-trung,Bình Lợi Trung,phường,Quận Bình Thạnh,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-binh-ong,Bình Đông,phường,Quận 8,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-binh-phu,Bình Phú,phường,Quận 6,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-binh-quoi,Bình Quới,phường,Quận Bình Thạnh,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-binh-tan,Bình Tân,phường,Quận Bình Tân,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-binh-tay,Bình Tây,phường,Quận 6,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-binh-thanh,Bình Thạnh,phường,Quận Bình Thạnh,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-binh-thoi,Bình Thới,phường,Quận 11,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-binh-tien,Bình Tiên,phường,Quận 6,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-binh-tri-ong,Bình Trị Đông,phường,Quận Bình Tân,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-binh-trung,Bình Trưng,phường,Quận 2,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-cat-lai,Cát Lái,phường,Quận 2,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-cau-kieu,Cầu Kiệu,phường,Quận Phú Nhuận,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-cau-ong-lanh,Cầu Ông Lãnh,phường,Quận 1,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-chanh-hiep,Chánh Hiệp,phường,Thành Phố Thủ Dầu Một,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-chanh-hung,Chánh Hưng,phường,Quận 8,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-chanh-phu-hoa,Chánh Phú Hòa,phường,Thành Phố Bến Cát,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-cho-lon,Chợ Lớn,phường,Quận 5,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-cho-quan,Chợ Quán,phường,Quận 5,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-di-an,Dĩ An,phường,Thành Phố Dĩ An,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-dien-hong,Diên Hồng,phường,Quận 10,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-gia-inh,Gia Định,phường,Quận Bình Thạnh,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-go-vap,Gò Vấp,phường,Quận Gò Vấp,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-hanh-thong,Hạnh Thông,phường,Quận Gò Vấp,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-hiep-binh,Hiệp Bình,phường,Thành Phố Thủ Đức,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-hoa-binh,Hòa Bình,phường,Quận 11,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-hoa-hung,Hòa Hưng,phường,Quận 10,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-khanh-hoi,Khánh Hội,phường,Quận 4,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-linh-xuan,Linh Xuân,phường,Thành Phố Thủ Đức,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-long-binh,Long Bình,phường,Quận 9,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-long-huong,Long Hương,phường,Thành Phố Bà Rịa,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-long-nguyen,Long Nguyên,phường,Thành Phố Bến Cát,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-long-phuoc,Long Phước,phường,Quận 9,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-long-truong,Long Trường,phường,Quận 9,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-minh-phung,Minh Phụng,phường,Quận 11,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-nhieu-loc,Nhiêu Lộc,phường,Quận 3,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-ong-hoa,Đông Hòa,phường,Thành Phố Dĩ An,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-ong-hung-thuan,Đông Hưng Thuận,phường,Quận 12,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-phu-inh,Phú Định,phường,Quận 8,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-phu-lam,Phú Lâm,phường,Quận 6,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-phu-loi,Phú Lợi,phường,Thành Phố Thủ Dầu Một,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-phu-nhuan,Phú Nhuận,phường,Quận Phú Nhuận,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-phu-thanh,Phú Thạnh,phường,Quận Tân Phú,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-phu-tho,Phú Thọ,phường,Quận 11,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-phu-tho-hoa,Phú Thọ Hòa,phường,Quận Tân Phú,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-phu-thuan,Phú Thuận,phường,Quận 7,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-phuoc-long,Phước Long,phường,Quận 9,Hồ Chí Minh,Ward
