amenity_id:ID(Amenity),name:string,category:string,latitude:float,longitude:float,street:string,address:string,operator:string,:LABEL
node/1001114451,Trung Tâm Dạy Nghề Bình Thạnh,school,10.8119652,106.6957645,Nơ Trang Long,,,Amenity;School
node/1001114491,Focomart,supermarket,10.8036214,106.7012353,Bạch Đằng,,,Amenity;Supermarket
node/10047410618,BỆNH VIỆN MẮT,hospital,10.7442536,106.7274159,Hẻm 458 Huỳnh Tấn Phát,Hẻm 458 Huỳnh Tấn Phát,,Amenity;Hospital
node/10062806617,Trường Ngoại Ngữ Tin Học HUFLIT,school,10.8654655,106.6010124,Quốc lộ 22,Quốc lộ 22,,Amenity;School
node/10079576290,Korea Mart,supermarket,10.9083839,106.7419817,Cầu vượt Ngã tư 550,"Cầu vượt Ngã tư 550, Dĩ An",,Amenity;Supermarket
node/10139330281,Trường Cao đẳng Bách Khoa Nam Sài Gòn,college_university,10.736027,106.6811972,Cao Lỗ,"47, Cao Lỗ, Quận 8, Thành phố Hồ Chí Minh",,Amenity;CollegeUniversity
node/10139499351,Đại học Văn Hiến (Cơ sở Hùng Hậu),bus_stop,10.7090759,106.6429353,Nguyễn Văn Linh,,,Amenity;BusStop
node/10164648581,thu mua kệ siêu thị cũ muskvn,supermarket,10.8508817,106.7516363,Đường Dương Văn Cam,"71, Đường Dương Văn Cam, Quan Thu Duc, Phường Linh Tây",,Amenity;Supermarket
node/10164939977,thumuagiuongtangmuskvn,supermarket,10.8510494,106.7514141,Đường Dương Văn Cam,"17, Đường Dương Văn Cam, Quan Thu Duc, Thành phố Thủ Đức",,Amenity;Supermarket
node/10229741470,USAMua - Mua Hàng Mỹ,supermarket,10.771174,106.6299894,Đường Hòa Bình,"204, Đường Hòa Bình, Tân Phú, Hồ Chí Minh",,Amenity;Supermarket
node/10246071319,Phụ Kiện Bida Minh Điền,supermarket,10.7850433,106.6309412,Phú Thọ Hoà,"192/34/1, Phú Thọ Hoà, Tân Phú, Hồ Chí Minh",MINH ĐIỀN BILLIARDS,Amenity;Supermarket
node/10248457090,Trung Tâm Ngoại Ngữ Quốc Tế Mỹ - Việt Nam,school,10.7543812,106.6987558,Tôn Thất Thuyết,"21B, Tôn Thất Thuyết, Quận 4",,Amenity;School
node/10294185712,Tops,supermarket,10.8444032,106.7626007,,,,Amenity;Supermarket
node/10304893410,Viện Thánh Kinh Thần Học,school,10.781199,106.7742326,,,,Amenity;School
