former_area_id:ID(FormerAdminArea),name:string,normalized_name:string,area_type:string,former_city_province:string,normalized_former_city_province:string,old_address:string,aliases:string,listing_count:int,mapped_ward_count:int,:LABEL
former-area|ba-ria-vung-tau|huyen-long-at,Huyện Long Đất,huyen long dat,Huyện,Bà Rịa Vũng Tàu,ba ria vung tau,"Huyện Long Đất, Bà Rịa Vũng Tàu cũ","Huyện Long Đất|huyen long dat|huyen long at|Huyện Long Đất cũ|huyen long dat cu|huyen long at cu|H. Long Đất|h long dat|Huyen long at|Huyện Long Đất, Bà Rịa Vũng Tàu|huyen long dat ba ria vung tau|Huyện Long Đất, Bà Rịa Vũng Tàu cũ|huyen long dat ba ria vung tau cu",1,1,FormerAdminArea
former-area|ba-ria-vung-tau|huyen-xuyen-moc,Huyện Xuyên Mộc,huyen xuyen moc,Huyện,Bà Rịa Vũng Tàu,ba ria vung tau,"Huyện Xuyên Mộc, Bà Rịa Vũng Tàu cũ","Huyện Xuyên Mộc|huyen xuyen moc|Huyện Xuyên Mộc cũ|huyen xuyen moc cu|H. Xuyên Mộc|h xuyen moc|Huyen xuyen moc|Huyện Xuyên Mộc, Bà Rịa Vũng Tàu|huyen xuyen moc ba ria vung tau|Huyện Xuyên Mộc, Bà Rịa Vũng Tàu cũ|huyen xuyen moc ba ria vung tau cu",1,1,FormerAdminArea
former-area|ba-ria-vung-tau|thanh-pho-ba-ria,Thành Phố Bà Rịa,thanh pho ba ria,Thành phố,Bà Rịa Vũng Tàu,ba ria vung tau,"Thành Phố Bà Rịa, Bà Rịa Vũng Tàu cũ","Thành Phố Bà Rịa|thanh pho ba ria|Thành Phố Bà Rịa cũ|thanh pho ba ria cu|TP Bà Rịa|tp ba ria|TP. Bà Rịa|Thanh pho ba ria|TP Bà Rịa cũ|tp ba ria cu|Thành Phố Bà Rịa, Bà Rịa Vũng Tàu|thanh pho ba ria ba ria vung tau|Thành Phố Bà Rịa, Bà Rịa Vũng Tàu cũ|thanh pho ba ria ba ria vung tau cu",1,1,FormerAdminArea
former-area|ba-ria-vung-tau|thanh-pho-vung-tau,Thành Phố Vũng Tàu,thanh pho vung tau,Thành phố,Bà Rịa Vũng Tàu,ba ria vung tau,"Thành Phố Vũng Tàu, Bà Rịa Vũng Tàu cũ","Thành Phố Vũng Tàu|thanh pho vung tau|Thành Phố Vũng Tàu cũ|thanh pho vung tau cu|TP Vũng Tàu|tp vung tau|TP. Vũng Tàu|Thanh pho vung tau|TP Vũng Tàu cũ|tp vung tau cu|Thành Phố Vũng Tàu, Bà Rịa Vũng Tàu|thanh pho vung tau ba ria vung tau|Thành Phố Vũng Tàu, Bà Rịa Vũng Tàu cũ|thanh pho vung tau ba ria vung tau cu",88,4,FormerAdminArea
former-area|binh-duong|huyen-bau-bang,Huyện Bàu Bàng,huyen bau bang,Huyện,Bình Dương,binh duong,"Huyện Bàu Bàng, Bình Dương cũ","Huyện Bàu Bàng|huyen bau bang|Huyện Bàu Bàng cũ|huyen bau bang cu|H. Bàu Bàng|h bau bang|Huyen bau bang|Huyện Bàu Bàng, Bình Dương|huyen bau bang binh duong|Huyện Bàu Bàng, Bình Dương cũ|huyen bau bang binh duong cu",17,2,FormerAdminArea
former-area|binh-duong|thanh-pho-ben-cat,Thành Phố Bến Cát,thanh pho ben cat,Thành phố,Bình Dương,binh duong,"Thành Phố Bến Cát, Bình Dương cũ","Thành Phố Bến Cát|thanh pho ben cat|Thành Phố Bến Cát cũ|thanh pho ben cat cu|TP Bến Cát|tp ben cat|TP. Bến Cát|Thanh pho ben cat|TP Bến Cát cũ|tp ben cat cu|Thành Phố Bến Cát, Bình Dương|thanh pho ben cat binh duong|Thành Phố Bến Cát, Bình Dương cũ|thanh pho ben cat binh duong cu",16,3,FormerAdminArea
former-area|binh-duong|thanh-pho-di-an,Thành Phố Dĩ An,thanh pho di an,Thành phố,Bình Dương,binh duong,"Thành Phố Dĩ An, Bình Dương cũ","Thành Phố Dĩ An|thanh pho di an|Thành Phố Dĩ An cũ|thanh pho di an cu|TP Dĩ An|tp di an|TP. Dĩ An|Thanh pho di an|TP Dĩ An cũ|tp di an cu|Thành Phố Dĩ An, Bình Dương|thanh pho di an binh duong|Thành Phố Dĩ An, Bình Dương cũ|thanh pho di an binh duong cu",29,3,FormerAdminArea
former-area|binh-duong|thanh-pho-thu-dau-mot,Thành Phố Thủ Dầu Một,thanh pho thu dau mot,Thành phố,Bình Dương,binh duong,"Thành Phố Thủ Dầu Một, Bình Dương cũ","Thành Phố Thủ Dầu Một|thanh pho thu dau mot|Thành Phố Thủ Dầu Một cũ|thanh pho thu dau mot cu|TP Thủ Dầu Một|tp thu dau mot|TP. Thủ Dầu Một|Thanh pho thu dau mot|TP Thủ Dầu Một cũ|tp thu dau mot cu|Thành Phố Thủ Dầu Một, Bình Dương|thanh pho thu dau mot binh duong|Thành Phố Thủ Dầu Một, Bình Dương cũ|thanh pho thu dau mot binh duong cu",18,4,FormerAdminArea
former-area|binh-duong|thanh-pho-thuan-an,Thành Phố Thuận An,thanh pho thuan an,Thành phố,Bình Dương,binh duong,"Thành Phố Thuận An, Bình Dương cũ","Thành Phố Thuận An|thanh pho thuan an|Thành Phố Thuận An cũ|thanh pho thuan an cu|TP Thuận An|tp thuan an|TP. Thuận An|Thanh pho thuan an|TP Thuận An cũ|tp thuan an cu|Thành Phố Thuận An, Bình Dương|thanh pho thuan an binh duong|Thành Phố Thuận An, Bình Dương cũ|thanh pho thuan an binh duong cu",11,2,FormerAdminArea
former-area|ho-chi-minh|huyen-binh-chanh,Huyện Bình Chánh,huyen binh chanh,Huyện,Hồ Chí Minh,ho chi minh,"Huyện Bình Chánh, Hồ Chí Minh cũ","Huyện Bình Chánh|huyen binh chanh|Huyện Bình Chánh cũ|huyen binh chanh cu|H. Bình Chánh|h binh chanh|Huyen binh chanh|Huyện Bình Chánh, Hồ Chí Minh|huyen binh chanh ho chi minh|Huyện Bình Chánh, Hồ Chí Minh cũ|huyen binh chanh ho chi minh cu",73,8,FormerAdminArea
