cluster_id:ID(GeoCluster),centroid_latitude:float,centroid_longitude:float,listing_count:int,representative_geohash_6:string,representative_geohash_7:string,:LABEL
G0001,10.3336786,107.08418165,3,w3u4uc,w3u4uc0,GeoCluster
G0002,10.33446715,107.08175406,3,w3u4u9,w3u4u9q,GeoCluster
G0003,10.33663409,107.08598658,4,w3u4uc,w3u4ucc,GeoCluster
G0004,10.33721786,107.08333668,1,w3u4u9,w3u4u9z,GeoCluster
G0005,10.33740343,107.08966342,4,w3u4uc,w3u4ucu,GeoCluster
G0006,10.34105,107.0897,1,w3u4uf,w3u4ufs,GeoCluster
G0007,10.34440283,107.08270069,1,w3u4ue,w3u4uep,GeoCluster
G0008,10.34606172,107.08610969,3,w3u4ug,w3u4ug3,GeoCluster
G0009,10.34624534,107.08270069,1,w3u4ue,w3u4uer,GeoCluster
G0010,10.34813781,107.08513761,2,w3u4ug,w3u4ugc,GeoCluster
G0011,10.35127559,107.09500789,1,w3u4vh,w3u4vh2,GeoCluster
G0012,10.35149188,107.07587043,1,w3u4us,w3u4us6,GeoCluster
G0013,10.35200575,107.10222486,1,w3u4vh,w3u4vht,GeoCluster
G0014,10.35230059,107.07233232,1,w3u4uk,w3u4ukx,GeoCluster
G0015,10.35342421,107.0634379,2,w3u4uk,w3u4ukc,GeoCluster
G0016,10.35386675,107.09834421,3,w3u4vh,w3u4vhf,GeoCluster
G0017,10.35413341,107.08597707,1,w3u4uu,w3u4uuc,GeoCluster
G0018,10.35434759,107.09436931,1,w3u4uu,w3u4uuz,GeoCluster
G0019,10.35579707,107.0793872,1,w3u4ut,w3u4uth,GeoCluster
G0020,10.35584522,107.07480562,2,w3u4ut,w3u4ut1,GeoCluster
G0021,10.35719066,107.07644746,2,w3u4ut,w3u4ut6,GeoCluster
G0022,10.35739381,107.09526876,1,w3u4vj,w3u4vj8,GeoCluster
G0023,10.35848654,107.08917949,1,w3u4uv,w3u4uve,GeoCluster
G0024,10.35883627,107.09663397,1,w3u4vj,w3u4vjc,GeoCluster
G0025,10.35955331,107.09328099,5,w3u4uv,w3u4uvy,GeoCluster
G0026,10.36225231,107.09490468,2,w3u4vn,w3u4vn2,GeoCluster
G0027,10.36342513,107.0827284,5,w3u4uw,w3u4uwx,GeoCluster
G0028,10.36419721,107.0756691,1,w3u4uw,w3u4uwd,GeoCluster
G0029,10.36504832,107.08425187,1,w3u4uy,w3u4uyb,GeoCluster
G0030,10.3668265,107.07951859,2,w3u4ux,w3u4uxk,GeoCluster
G0031,10.36836188,107.09793844,3,w3u4vp,w3u4vpd,GeoCluster
G0032,10.36844143,107.06246499,6,w3u4ur,w3u4ur2,GeoCluster
G0033,10.36970047,107.08946059,1,w3u4uz,w3u4uzs,GeoCluster
G0034,10.37238849,107.08270162,1,w3u5h8,w3u5h8p,GeoCluster
G0035,10.37262021,107.08576546,1,w3u5hb,w3u5hb3,GeoCluster
G0036,10.37354035,107.08090573,1,w3u5h8,w3u5h8m,GeoCluster
G0037,10.37500659,107.08636728,1,w3u5hb,w3u5hb9,GeoCluster
G0038,10.37533749,107.08824564,1,w3u5hb,w3u5hbg,GeoCluster
G0039,10.37610777,107.1034424,2,w3u5j0,w3u5j0y,GeoCluster
G0040,10.37842905,107.1130062,1,w3u5j3,w3u5j3m,GeoCluster
G0041,10.37905766,107.11771648,1,w3u5j9,w3u5j92,GeoCluster
G0042,10.38588385,107.10013869,1,w3u5j4,w3u5j4e,GeoCluster
G0043,10.38816186,107.10128975,1,w3u5j5,w3u5j5h,GeoCluster
G0044,10.39355775,107.10418571,1,w3u5jh,w3u5jhn,GeoCluster
G0045,10.39374389,107.13097631,1,w3u5ju,w3u5ju4,GeoCluster
G0046,10.39559726,107.14809694,7,w3u5nh,w3u5nhq,GeoCluster
G0047,10.48037393,107.26857207,1,w3u78g,w3u78gy,GeoCluster
G0048,10.49856953,107.40763406,1,w3u7sp,w3u7sp5,GeoCluster
G0049,10.49958213,107.13077943,1,w3u5tz,w3u5tz6,GeoCluster
G0050,10.61419939,106.73929857,3,w3guku,w3gukum,GeoCluster
G0051,10.65116307,106.72999504,19,w3gusd,w3gusdy,GeoCluster
G0052,10.654639,106.72011533,1,w3gus7,w3gus7x,GeoCluster
G0053,10.65710193,106.71409841,2,w3gusk,w3gusk4,GeoCluster
G0054,10.66933807,106.5601769,1,w3gu8y,w3gu8y6,GeoCluster
G0055,10.67132761,106.59155603,1,w3gu9w,w3gu9w9,GeoCluster
G0056,10.67500902,106.73996648,3,w3gusz,w3guszm,GeoCluster
G0057,10.67513997,106.69841165,16,w3guez,w3guezr,GeoCluster
G0058,10.67770105,106.64983895,1,w3gudz,w3gudzu,GeoCluster
G0059,10.67828369,106.70355061,5,w3gusp,w3guspg,GeoCluster
G0060,10.67834759,106.75354698,32,w3gutp,w3gutpz,GeoCluster
G0061,10.6813878,106.75362937,1,w3guv0,w3guv0r,GeoCluster
G0062,10.68307935,106.59688991,1,w3guc8,w3guc8v,GeoCluster
G0063,10.68413372,106.59964017,1,w3guc8,w3guc8z,GeoCluster
G0064,10.68469158,106.75017305,37,w3guv1,w3guv1j,GeoCluster
G0065,10.68469324,106.57309435,3,w3guc1,w3guc1h,GeoCluster
G0066,10.68497556,106.74677482,4,w3guv1,w3guv14,GeoCluster
G0067,10.6870117,106.58548553,33,w3guc3,w3guc3t,GeoCluster
G0068,10.68947531,106.64734135,1,w3gufc,w3gufcf,GeoCluster
G0069,10.69036952,106.58670947,1,w3guc6,w3guc6n,GeoCluster
G0070,10.69186082,106.73617082,3,w3guuf,w3guuf6,GeoCluster
G0071,10.69194099,106.58635709,1,w3guc6,w3guc6m,GeoCluster
G0072,10.69281174,106.74089912,63,w3guuf,w3guufw,GeoCluster
G0073,10.69362,106.6094,1,w3gucf,w3gucfw,GeoCluster
G0074,10.69386854,106.65386867,1,w3guff,w3guffy,GeoCluster
G0075,10.69492934,106.60562982,1,w3gucf,w3gucfg,GeoCluster
G0076,10.69516223,106.73857128,1,w3guuf,w3guufu,GeoCluster
G0077,10.69617923,106.59449461,1,w3guce,w3guce5,GeoCluster
G0078,10.69633035,106.74440007,1,w3guv5,w3guv50,GeoCluster
G0079,10.69683149,106.7409357,6,w3guug,w3guugq,GeoCluster
G0080,10.69780227,106.7189521,1,w3guu7,w3guu7q,GeoCluster
G0081,10.69869184,106.64202003,1,w3gufe,w3gufew,GeoCluster
G0082,10.70177415,106.74120565,4,w3guuu,w3guuun,GeoCluster
G0083,10.70221083,106.72855229,5,w3guus,w3guusm,GeoCluster
G0084,10.70250224,106.70964407,3,w3guuh,w3guuhr,GeoCluster
G0085,10.7035489,106.70387181,6,w3guuh,w3guuhe,GeoCluster
G0086,10.70403293,106.63093989,3,w3gufk,w3gufkw,GeoCluster
G0087,10.70487642,106.73484587,8,w3guuu,w3guuuc,GeoCluster
G0088,10.7055092,106.72842984,2,w3guus,w3guusv,GeoCluster
G0089,10.70552745,106.7408631,7,w3guuu,w3guuuy,GeoCluster
G0090,10.70776665,106.70126347,1,w3guuj,w3guuj3,GeoCluster
G0091,10.70789957,106.73488122,9,w3guuv,w3guuv3,GeoCluster
G0092,10.70816426,106.59609099,1,w3guct,w3guctk,GeoCluster
G0093,10.70821941,106.6213546,1,w3gufj,w3gufjr,GeoCluster
G0094,10.70942454,106.64232163,2,w3guft,w3guftw,GeoCluster
G0095,10.71186042,106.57880953,1,w3gucq,w3gucq0,GeoCluster
G0096,10.7124,106.6418,1,w3gufw,w3gufwn,GeoCluster
G0097,10.71373447,106.60850179,3,w3gucy,w3gucym,GeoCluster
G0098,10.71404394,106.73754785,12,w3guuy,w3guuyk,GeoCluster
G0099,10.71435712,106.73397713,3,w3guuy,w3guuy3,GeoCluster
G0100,10.71481712,106.74115792,3,w3guuy,w3guuyq,GeoCluster
G0101,10.71581619,106.63195433,3,w3gufq,w3gufqz,GeoCluster
G0102,10.71632286,106.58156569,4,w3gucq,w3gucqf,GeoCluster
G0103,10.71657102,106.62824501,2,w3gufq,w3gufqu,GeoCluster
G0104,10.71780647,106.62268681,1,w3gufr,w3gufr0,GeoCluster
G0105,10.71802864,106.61779728,3,w3gufp,w3gufph,GeoCluster
G0106,10.71844635,106.62976331,4,w3gufr,w3gufrj,GeoCluster
G0107,10.7199992,106.61689638,1,w3gufp,w3gufps,GeoCluster
G0108,10.72035425,106.59320594,1,w3gucx,w3gucxd,GeoCluster
G0109,10.72128067,106.62096158,2,w3gufp,w3gufpz,GeoCluster
G0110,10.72274668,106.70258932,2,w3gvh0,w3gvh04,GeoCluster
G0111,10.72282746,106.59953628,2,w3gv18,w3gv18p,GeoCluster
