:START_ID(Listing),:END_ID(GeoCluster),:TYPE
45222670__1,G0835,IN_CLUSTER
41003332,G0956,IN_CLUSTER
44850086,G0351,IN_CLUSTER
45225431,G0405,IN_CLUSTER
43489295,G0144,IN_CLUSTER
44335474,G0210,IN_CLUSTER
45260467,G0394,IN_CLUSTER
45197258,G0264,IN_CLUSTER
45059973,G0585,IN_CLUSTER
45229051,G0094,IN_CLUSTER
45235016,G0763,IN_CLUSTER
45232873,G0119,IN_CLUSTER
44346372,G0210,IN_CLUSTER
45093850,G0763,IN_CLUSTER
44622948,G0160,IN_CLUSTER
44785182,G0097,IN_CLUSTER
44107433,G0592,IN_CLUSTER
44986524,G0110,IN_CLUSTER
45102500,G0600,IN_CLUSTER
45189967,G0697,IN_CLUSTER
44848669,G0067,IN_CLUSTER
43919030,G1040,IN_CLUSTER
45162235,G0069,IN_CLUSTER
44845494,G0067,IN_CLUSTER
44984592,G0067,IN_CLUSTER
45038070,G0100,IN_CLUSTER
44691569,G0526,IN_CLUSTER
44868190,G0340,IN_CLUSTER
44063983,G0804,IN_CLUSTER
42561310,G0431,IN_CLUSTER
43923505,G0205,IN_CLUSTER
45255963,G0342,IN_CLUSTER
44742356,G0233,IN_CLUSTER
45245173,G0405,IN_CLUSTER
43317425,G0829,IN_CLUSTER
44734124,G0431,IN_CLUSTER
44748012,G0804,IN_CLUSTER
44107369,G0592,IN_CLUSTER
45246753,G0098,IN_CLUSTER
45161272,G0804,IN_CLUSTER
45149520,G0506,IN_CLUSTER
45246430,G0098,IN_CLUSTER
43241856,G0835,IN_CLUSTER
44756510,G0909,IN_CLUSTER
39130038,G0741,IN_CLUSTER
43589492,G0786,IN_CLUSTER
45113783,G0506,IN_CLUSTER
44525010,G0210,IN_CLUSTER
44342167,G0098,IN_CLUSTER
44333099,G0408,IN_CLUSTER
44860127,G0006,IN_CLUSTER
44282818,G0757,IN_CLUSTER
43960856,G0835,IN_CLUSTER
44193699,G0804,IN_CLUSTER
45104453,G0282,IN_CLUSTER
43321672,G0829,IN_CLUSTER
44870935,G0297,IN_CLUSTER
44171872,G0332,IN_CLUSTER
45027560,G0332,IN_CLUSTER
45245637,G0294,IN_CLUSTER
45266104,G0798,IN_CLUSTER
44483330,G0331,IN_CLUSTER
44708914,G0231,IN_CLUSTER
43797634,G0236,IN_CLUSTER
44590405,G0431,IN_CLUSTER
45014857,G0331,IN_CLUSTER
43959995,G0327,IN_CLUSTER
39770672,G0431,IN_CLUSTER
44331203,G0290,IN_CLUSTER
45244830,G1023,IN_CLUSTER
43682719,G0514,IN_CLUSTER
44133946,G0643,IN_CLUSTER
