:START_ID(Listing),:END_ID(FormerAdminArea),:TYPE
45222670__1,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
41003332,former-area|binh-duong|thanh-pho-di-an,IN_FORMER_AREA
44850086,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
45225431,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
43489295,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
44335474,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
45260467,former-area|ho-chi-minh|quan-10,IN_FORMER_AREA
45197258,former-area|ho-chi-minh|quan-4,IN_FORMER_AREA
45059973,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
45229051,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
45235016,former-area|ho-chi-minh|quan-12,IN_FORMER_AREA
45232873,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
44346372,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
45093850,former-area|ho-chi-minh|quan-12,IN_FORMER_AREA
44622948,former-area|ho-chi-minh|quan-8,IN_FORMER_AREA
44785182,former-area|ho-chi-minh|quan-binh-tan,IN_FORMER_AREA
44107433,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44986524,former-area|ho-chi-minh|huyen-nha-be,IN_FORMER_AREA
45102500,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
45189967,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
44848669,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
43919030,former-area|binh-duong|thanh-pho-thu-dau-mot,IN_FORMER_AREA
45162235,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
44845494,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
44984592,former-area|ho-chi-minh|huyen-binh-chanh,IN_FORMER_AREA
45038070,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
44691569,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
44868190,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
44063983,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
42561310,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
43923505,former-area|ho-chi-minh|quan-6,IN_FORMER_AREA
45255963,former-area|ho-chi-minh|quan-11,IN_FORMER_AREA
44742356,former-area|ho-chi-minh|quan-4,IN_FORMER_AREA
45245173,former-area|ho-chi-minh|quan-1,IN_FORMER_AREA
43317425,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44734124,former-area|ho-chi-minh|quan-2,IN_FORMER_AREA
44748012,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44107369,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45246753,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
45161272,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45149520,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
45246430,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
43241856,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
44756510,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
39130038,former-area|ho-chi-minh|thanh-pho-thu-uc,IN_FORMER_AREA
43589492,former-area|ho-chi-minh|quan-9,IN_FORMER_AREA
45113783,former-area|ho-chi-minh|quan-binh-thanh,IN_FORMER_AREA
44525010,former-area|ho-chi-minh|quan-7,IN_FORMER_AREA
