:START_ID(Listing),:END_ID(Ward),:TYPE
45222670__1,ward|ho-chi-minh|phuong-long-binh,IN_WARD
41003332,ward|ho-chi-minh|phuong-di-an,IN_WARD
44850086,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
45225431,ward|ho-chi-minh|phuong-sai-gon,IN_WARD
43489295,ward|ho-chi-minh|phuong-phu-thuan,IN_WARD
44335474,ward|ho-chi-minh|phuong-tan-thuan,IN_WARD
45260467,ward|ho-chi-minh|phuong-hoa-hung,IN_WARD
45197258,ward|ho-chi-minh|phuong-xom-chieu,IN_WARD
45059973,ward|ho-chi-minh|phuong-thanh-my-tay,IN_WARD
45229051,ward|ho-chi-minh|xa-binh-hung,IN_WARD
45235016,ward|ho-chi-minh|phuong-ong-hung-thuan,IN_WARD
45232873,ward|ho-chi-minh|phuong-phu-thuan,IN_WARD
44346372,ward|ho-chi-minh|phuong-tan-thuan,IN_WARD
45093850,ward|ho-chi-minh|phuong-ong-hung-thuan,IN_WARD
44622948,ward|ho-chi-minh|phuong-chanh-hung,IN_WARD
44785182,ward|ho-chi-minh|phuong-an-lac,IN_WARD
44107433,ward|ho-chi-minh|phuong-long-truong,IN_WARD
44986524,ward|ho-chi-minh|xa-nha-be,IN_WARD
45102500,ward|ho-chi-minh|phuong-thanh-my-tay,IN_WARD
45189967,ward|ho-chi-minh|phuong-binh-quoi,IN_WARD
44848669,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
43919030,ward|ho-chi-minh|phuong-thu-dau-mot,IN_WARD
45162235,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
44845494,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
44984592,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
45038070,ward|ho-chi-minh|phuong-phu-thuan,IN_WARD
44691569,ward|ho-chi-minh|phuong-thanh-my-tay,IN_WARD
44868190,ward|ho-chi-minh|phuong-ben-thanh,IN_WARD
44063983,ward|ho-chi-minh|phuong-long-binh,IN_WARD
42561310,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
43923505,ward|ho-chi-minh|phuong-binh-tay,IN_WARD
45255963,ward|ho-chi-minh|phuong-hoa-hung,IN_WARD
44742356,ward|ho-chi-minh|phuong-vinh-hoi,IN_WARD
45245173,ward|ho-chi-minh|phuong-sai-gon,IN_WARD
43317425,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44734124,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
44748012,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44107369,ward|ho-chi-minh|phuong-long-truong,IN_WARD
45246753,ward|ho-chi-minh|phuong-phu-thuan,IN_WARD
45161272,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45149520,ward|ho-chi-minh|phuong-thanh-my-tay,IN_WARD
45246430,ward|ho-chi-minh|phuong-phu-thuan,IN_WARD
43241856,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44756510,ward|ho-chi-minh|phuong-long-binh,IN_WARD
39130038,ward|ho-chi-minh|phuong-hiep-binh,IN_WARD
43589492,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45113783,ward|ho-chi-minh|phuong-thanh-my-tay,IN_WARD
44525010,ward|ho-chi-minh|phuong-tan-thuan,IN_WARD
44342167,ward|ho-chi-minh|phuong-phu-thuan,IN_WARD
44333099,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
44860127,ward|ho-chi-minh|phuong-vung-tau,IN_WARD
44282818,ward|ho-chi-minh|phuong-binh-loi-trung,IN_WARD
43960856,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44193699,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45104453,ward|ho-chi-minh|phuong-cau-ong-lanh,IN_WARD
43321672,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44870935,ward|ho-chi-minh|phuong-cau-ong-lanh,IN_WARD
44171872,ward|ho-chi-minh|phuong-xom-chieu,IN_WARD
45027560,ward|ho-chi-minh|phuong-xom-chieu,IN_WARD
45245637,ward|ho-chi-minh|phuong-khanh-hoi,IN_WARD
45266104,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44483330,ward|ho-chi-minh|phuong-cau-ong-lanh,IN_WARD
44708914,ward|ho-chi-minh|phuong-cho-lon,IN_WARD
43797634,ward|ho-chi-minh|phuong-cho-quan,IN_WARD
44590405,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
45014857,ward|ho-chi-minh|phuong-ben-thanh,IN_WARD
43959995,ward|ho-chi-minh|phuong-ben-thanh,IN_WARD
39770672,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
44331203,ward|ho-chi-minh|phuong-vuon-lai,IN_WARD
45244830,ward|ho-chi-minh|phuong-di-an,IN_WARD
43682719,ward|ho-chi-minh|phuong-xuan-hoa,IN_WARD
44133946,ward|ho-chi-minh|phuong-binh-trung,IN_WARD
44526324,ward|ho-chi-minh|phuong-phu-tho-hoa,IN_WARD
45042172,ward|ho-chi-minh|phuong-cau-kieu,IN_WARD
44290256,ward|ho-chi-minh|phuong-thanh-my-tay,IN_WARD
44732031,ward|ho-chi-minh|phuong-tan-binh,IN_WARD
45165004,ward|ho-chi-minh|phuong-an-ong,IN_WARD
45265733,ward|ho-chi-minh|phuong-an-lac,IN_WARD
44468549,ward|ho-chi-minh|phuong-ban-co,IN_WARD
44456588,ward|ho-chi-minh|phuong-khanh-hoi,IN_WARD
45084822,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44730914,ward|ho-chi-minh|phuong-tan-son-nhi,IN_WARD
44888200,ward|ho-chi-minh|phuong-cau-ong-lanh,IN_WARD
43537623,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45254034,ward|ho-chi-minh|phuong-long-truong,IN_WARD
43356438,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
44048727,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45248206,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
45032480,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
45250823,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44713493,ward|ho-chi-minh|phuong-tan-hung,IN_WARD
44397902,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45209742,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
45222670__2,ward|ho-chi-minh|phuong-long-binh,IN_WARD
43247491,ward|ho-chi-minh|phuong-long-truong,IN_WARD
43238060,ward|ho-chi-minh|phuong-long-truong,IN_WARD
41321808,ward|ho-chi-minh|phuong-long-truong,IN_WARD
45248655,ward|ho-chi-minh|phuong-binh-trung,IN_WARD
43436120,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45153972,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
45110391,ward|ho-chi-minh|phuong-khanh-hoi,IN_WARD
44284175,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44350831,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44843875,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
45088647,ward|ho-chi-minh|phuong-tan-hung,IN_WARD
43403469,ward|ho-chi-minh|phuong-thu-dau-mot,IN_WARD
44791321,ward|ho-chi-minh|phuong-cau-ong-lanh,IN_WARD
44286055,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44043317,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
45056277,ward|ho-chi-minh|phuong-thanh-my-tay,IN_WARD
44729361,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44288363,ward|ho-chi-minh|phuong-long-binh,IN_WARD
43883712,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
44283417,ward|ho-chi-minh|phuong-long-binh,IN_WARD
43572439,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45257289,ward|ho-chi-minh|phuong-an-lac,IN_WARD
43716231,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45261874,ward|ho-chi-minh|xa-xuan-thoi-son,IN_WARD
44077565,ward|ho-chi-minh|phuong-long-binh,IN_WARD
43569738,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44034581,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45262776,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
44881140,ward|ho-chi-minh|phuong-cau-ong-lanh,IN_WARD
45263106,ward|ho-chi-minh|phuong-vinh-hoi,IN_WARD
43866123,ward|ho-chi-minh|phuong-long-truong,IN_WARD
45263202,ward|ho-chi-minh|phuong-vinh-hoi,IN_WARD
43492362,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44073845,ward|ho-chi-minh|phuong-long-binh,IN_WARD
43478669,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44872651,ward|ho-chi-minh|phuong-long-binh,IN_WARD
43692251,ward|ho-chi-minh|phuong-long-binh,IN_WARD
43693290,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45081962,ward|ho-chi-minh|phuong-tan-hung,IN_WARD
43284841,ward|ho-chi-minh|phuong-long-binh,IN_WARD
42521719,ward|ho-chi-minh|phuong-thanh-my-tay,IN_WARD
45040477,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
44049181,ward|ho-chi-minh|phuong-thanh-my-tay,IN_WARD
44781792,ward|ho-chi-minh|phuong-binh-trung,IN_WARD
44781667,ward|ho-chi-minh|phuong-binh-trung,IN_WARD
44400867,ward|ho-chi-minh|phuong-cat-lai,IN_WARD
44880200,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
44762845,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
45162231,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
44864335,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
44948688,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
44897223,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
44729464,ward|ho-chi-minh|phuong-binh-trung,IN_WARD
45040570,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
44282741,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44239561,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45148629,ward|ho-chi-minh|phuong-phu-loi,IN_WARD
45237880,ward|ho-chi-minh|phuong-an-hoi-ong,IN_WARD
45165437,ward|ho-chi-minh|phuong-an-ong,IN_WARD
43211541,ward|ho-chi-minh|phuong-tan-thuan,IN_WARD
44210257,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
43452836,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
44273779,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
44484541,ward|ho-chi-minh|phuong-an-khanh,IN_WARD
44657659,ward|ho-chi-minh|phuong-tan-son-nhi,IN_WARD
44656554,ward|ho-chi-minh|phuong-cho-quan,IN_WARD
45199130,ward|ho-chi-minh|phuong-sai-gon,IN_WARD
43927551,ward|ho-chi-minh|phuong-gia-inh,IN_WARD
44586268,ward|ho-chi-minh|phuong-khanh-hoi,IN_WARD
36221753,ward|ho-chi-minh|phuong-thu-dau-mot,IN_WARD
40340780,ward|ho-chi-minh|phuong-phu-loi,IN_WARD
44825273,ward|ho-chi-minh|xa-binh-hung,IN_WARD
43849134,ward|ho-chi-minh|phuong-cat-lai,IN_WARD
44731068,ward|ho-chi-minh|phuong-long-binh,IN_WARD
43344418,ward|ho-chi-minh|phuong-long-binh,IN_WARD
43572792,ward|ho-chi-minh|phuong-long-binh,IN_WARD
44922077,ward|ho-chi-minh|phuong-tam-binh,IN_WARD
44957828,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
43202640,ward|ho-chi-minh|phuong-long-binh,IN_WARD
43696637,ward|ho-chi-minh|phuong-long-binh,IN_WARD
45017137,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
45194899,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
45235813,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
43963943,ward|ho-chi-minh|phuong-binh-ong,IN_WARD
45100589,ward|ho-chi-minh|phuong-tan-thuan,IN_WARD
42218073,ward|ho-chi-minh|phuong-long-truong,IN_WARD
44753361,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
44863961,ward|ho-chi-minh|xa-tan-nhut,IN_WARD
45057652,ward|ho-chi-minh|phuong-cau-ong-lanh,IN_WARD
45186771,ward|ho-chi-minh|phuong-phu-thanh,IN_WARD
