:START_ID(Listing),:END_ID(Amenity),category:string,rank:int,is_nearest:boolean,straight_line_km:float,driving_distance_km:float,driving_duration_min:float,within_threshold:boolean,threshold_km:float,:TYPE
45222670__1,way/321939234,hospital,1,true,7.403,11.681,14.8,,,NEAR_AMENITY
45222670__1,way/1223354351,school,1,true,0.779,0.919,2.4,true,2.0,NEAR_AMENITY
45222670__1,way/321939965,college_university,1,true,2.954,4.162,6.0,true,5.0,NEAR_AMENITY
45222670__1,node/11586280307,metro,1,true,5.259,8.525,10.9,false,3.0,NEAR_AMENITY
45222670__1,way/1115566351,mall,1,true,0.317,0.578,1.5,true,5.0,NEAR_AMENITY
45222670__1,way/32587159,market,1,true,4.234,4.793,7.8,false,2.0,NEAR_AMENITY
45222670__1,node/11152431366,supermarket,1,true,0.777,1.02,2.8,true,2.0,NEAR_AMENITY
45222670__1,node/12647208019,park,1,true,0.634,0.732,1.9,true,5.0,NEAR_AMENITY
45222670__1,node/11868700639,bus_stop,1,true,0.377,0.412,1.0,true,2.0,NEAR_AMENITY
41003332,way/1023122039,hospital,1,true,1.268,2.259,4.2,,,NEAR_AMENITY
41003332,way/291853369,school,1,true,0.242,0.621,1.7,true,2.0,NEAR_AMENITY
41003332,node/9587618717,college_university,1,true,1.489,2.35,4.1,true,5.0,NEAR_AMENITY
41003332,node/11586280327,metro,1,true,3.53,4.393,6.6,false,3.0,NEAR_AMENITY
41003332,way/367930334,mall,1,true,2.828,3.561,6.1,true,5.0,NEAR_AMENITY
41003332,node/1921519106,market,1,true,0.406,0.973,2.0,true,2.0,NEAR_AMENITY
41003332,node/10164648581,supermarket,1,true,2.435,3.609,5.2,false,2.0,NEAR_AMENITY
41003332,way/821391269,park,1,true,0.712,1.207,2.3,true,5.0,NEAR_AMENITY
41003332,node/3185767535,bus_stop,1,true,1.571,1.8,2.9,true,2.0,NEAR_AMENITY
44850086,way/187949834,hospital,1,true,1.828,2.951,4.2,,,NEAR_AMENITY
44850086,way/187895182,school,1,true,1.713,2.217,3.3,false,2.0,NEAR_AMENITY
44850086,way/263506611,college_university,1,true,1.313,2.521,3.7,true,5.0,NEAR_AMENITY
44850086,way/1163010587,metro,1,true,1.579,2.384,4.1,true,3.0,NEAR_AMENITY
44850086,way/605774020,mall,1,true,0.69,0.69,1.0,true,5.0,NEAR_AMENITY
44850086,node/9587486344,market,1,true,2.007,2.55,3.7,false,2.0,NEAR_AMENITY
44850086,node/11124634717,supermarket,1,true,1.907,2.419,3.6,false,2.0,NEAR_AMENITY
44850086,way/366105823,park,1,true,0.354,0.606,1.0,true,5.0,NEAR_AMENITY
44850086,node/11868700614,bus_stop,1,true,1.592,2.194,3.2,false,2.0,NEAR_AMENITY
45225431,way/187895176,hospital,1,true,0.542,1.212,2.3,,,NEAR_AMENITY
45225431,way/801710776,school,1,true,0.631,1.098,1.9,true,2.0,NEAR_AMENITY
45225431,way/193085693,college_university,1,true,0.498,1.182,2.3,true,5.0,NEAR_AMENITY
45225431,way/1163010587,metro,1,true,0.358,0.558,1.4,true,3.0,NEAR_AMENITY
45225431,way/187895187,mall,1,true,0.59,0.733,1.7,true,5.0,NEAR_AMENITY
45225431,relation/11102209,market,1,true,0.885,1.424,2.4,true,2.0,NEAR_AMENITY
45225431,node/2141010789,supermarket,1,true,0.311,0.598,1.3,true,2.0,NEAR_AMENITY
45225431,way/1056572948,park,1,true,0.097,0.123,0.6,true,5.0,NEAR_AMENITY
45225431,node/11771724348,bus_stop,1,true,0.673,0.966,1.8,true,2.0,NEAR_AMENITY
43489295,node/10047410618,hospital,1,true,1.647,1.949,3.4,,,NEAR_AMENITY
43489295,way/1308395604,school,1,true,0.574,1.174,2.1,true,2.0,NEAR_AMENITY
43489295,node/9587204857,college_university,1,true,2.396,3.155,5.5,true,5.0,NEAR_AMENITY
43489295,way/1162981728,metro,1,true,6.017,7.259,10.0,false,3.0,NEAR_AMENITY
43489295,node/9587566626,mall,1,true,1.182,1.269,2.0,true,5.0,NEAR_AMENITY
43489295,way/1411361898,market,1,true,1.001,1.904,3.4,true,2.0,NEAR_AMENITY
43489295,node/13955245160,supermarket,1,true,0.945,0.95,1.6,true,2.0,NEAR_AMENITY
43489295,way/189082652,park,1,true,2.004,3.363,5.9,true,5.0,NEAR_AMENITY
43489295,node/11811394786,bus_stop,1,true,1.24,1.647,2.7,true,2.0,NEAR_AMENITY
44335474,way/230070394,hospital,1,true,1.488,1.812,3.1,,,NEAR_AMENITY
44335474,way/218852761,school,1,true,1.361,1.8,2.9,true,2.0,NEAR_AMENITY
44335474,node/9587204857,college_university,1,true,2.976,3.264,4.6,true,5.0,NEAR_AMENITY
44335474,way/1162981728,metro,1,true,3.555,7.303,9.4,false,3.0,NEAR_AMENITY
44335474,way/188114097,mall,1,true,2.451,3.13,4.9,true,5.0,NEAR_AMENITY
44335474,way/188114147,market,1,true,1.643,1.859,3.2,true,2.0,NEAR_AMENITY
44335474,way/1416495515,supermarket,1,true,1.281,3.473,5.1,false,2.0,NEAR_AMENITY
44335474,way/1308559978,park,1,true,0.274,3.392,4.6,true,5.0,NEAR_AMENITY
44335474,node/11760158105,bus_stop,1,true,1.149,2.988,4.1,false,2.0,NEAR_AMENITY
45260467,way/319360606,hospital,1,true,0.615,1.152,2.1,,,NEAR_AMENITY
45260467,way/1302034687,school,1,true,0.21,0.282,1.0,true,2.0,NEAR_AMENITY
45260467,way/1078519146,college_university,1,true,0.45,0.839,1.5,true,5.0,NEAR_AMENITY
45260467,way/1162981728,metro,1,true,2.407,2.746,3.6,true,3.0,NEAR_AMENITY
45260467,way/509015321,mall,1,true,0.453,1.114,1.8,true,5.0,NEAR_AMENITY
45260467,way/826183551,market,1,true,0.83,1.503,2.4,true,2.0,NEAR_AMENITY
45260467,node/9585117677,supermarket,1,true,0.378,0.714,1.6,true,2.0,NEAR_AMENITY
45260467,way/238164637,park,1,true,1.109,1.278,2.0,true,5.0,NEAR_AMENITY
45260467,node/4877811752,bus_stop,1,true,0.36,0.817,1.5,true,2.0,NEAR_AMENITY
45197258,way/187949844,hospital,1,true,1.608,1.98,2.7,,,NEAR_AMENITY
45197258,way/188114221,school,1,true,0.361,0.541,1.1,true,2.0,NEAR_AMENITY
45197258,relation/9487536,college_university,1,true,0.663,0.767,1.3,true,5.0,NEAR_AMENITY
45197258,way/1162981728,metro,1,true,2.344,2.904,3.9,true,3.0,NEAR_AMENITY
45197258,way/806860787,mall,1,true,2.065,2.697,3.9,true,5.0,NEAR_AMENITY
45197258,way/1538947028,market,1,true,1.14,1.543,2.2,true,2.0,NEAR_AMENITY
45197258,node/6783472668,supermarket,1,true,0.957,0.975,1.2,true,2.0,NEAR_AMENITY
45197258,way/188114203,park,1,true,0.599,1.519,2.5,true,5.0,NEAR_AMENITY
45197258,node/3168949060,bus_stop,1,true,0.641,0.641,0.8,true,2.0,NEAR_AMENITY
45059973,way/187895176,hospital,1,true,2.196,3.146,4.5,,,NEAR_AMENITY
45059973,way/192512391,school,1,true,0.279,0.384,1.0,true,2.0,NEAR_AMENITY
45059973,way/192512338,college_university,1,true,0.696,1.136,2.1,true,5.0,NEAR_AMENITY
45059973,node/11586280298,metro,1,true,0.375,1.796,3.1,true,3.0,NEAR_AMENITY
45059973,way/187895187,mall,1,true,2.86,3.834,5.4,true,5.0,NEAR_AMENITY
45059973,way/263311733,market,1,true,0.933,1.178,2.4,true,2.0,NEAR_AMENITY
45059973,node/6965164241,supermarket,1,true,0.51,1.406,3.6,true,2.0,NEAR_AMENITY
45059973,way/358154692,park,1,true,0.531,1.352,3.3,true,5.0,NEAR_AMENITY
45059973,node/11363404641,bus_stop,1,true,0.489,1.234,1.8,true,2.0,NEAR_AMENITY
45229051,way/1486203686,hospital,1,true,5.095,8.418,10.0,,,NEAR_AMENITY
45229051,way/1110478802,school,1,true,0.661,3.034,4.5,false,2.0,NEAR_AMENITY
45229051,way/1098298110,college_university,1,true,0.423,2.242,3.9,true,5.0,NEAR_AMENITY
45229051,way/1162981728,metro,1,true,9.146,14.849,14.2,false,3.0,NEAR_AMENITY
45229051,way/686792754,mall,1,true,4.431,7.725,6.9,false,5.0,NEAR_AMENITY
45229051,way/315563039,market,1,true,2.178,2.603,3.3,false,2.0,NEAR_AMENITY
45229051,node/6770632001,supermarket,1,true,2.124,2.55,3.4,false,2.0,NEAR_AMENITY
45229051,way/1308470661,park,1,true,2.072,3.612,5.9,true,5.0,NEAR_AMENITY
45229051,node/3168990581,bus_stop,1,true,0.009,0.004,0.0,true,2.0,NEAR_AMENITY
45235016,way/1010844322,hospital,1,true,0.057,1.255,2.1,,,NEAR_AMENITY
45235016,way/641389089,school,1,true,0.19,1.082,1.7,true,2.0,NEAR_AMENITY
45235016,way/1085962652,college_university,1,true,2.424,2.732,3.8,true,5.0,NEAR_AMENITY
45235016,way/1162981728,metro,1,true,10.714,11.531,12.4,false,3.0,NEAR_AMENITY
45235016,way/1152214346,mall,1,true,4.856,5.46,5.9,false,5.0,NEAR_AMENITY
45235016,node/9587618722,market,1,true,0.501,0.758,1.2,true,2.0,NEAR_AMENITY
45235016,node/13399429923,supermarket,1,true,0.103,0.069,0.2,true,2.0,NEAR_AMENITY
45235016,way/1010843998,park,1,true,0.066,0.036,0.1,true,5.0,NEAR_AMENITY
45235016,node/11761069772,bus_stop,1,true,0.463,0.787,1.1,true,2.0,NEAR_AMENITY
45232873,way/230070394,hospital,1,true,1.581,2.237,3.6,,,NEAR_AMENITY
45232873,way/1308395604,school,1,true,0.695,1.211,2.1,true,2.0,NEAR_AMENITY
45232873,node/9587204857,college_university,1,true,1.313,2.197,3.8,true,5.0,NEAR_AMENITY
45232873,way/1162981728,metro,1,true,6.291,7.741,10.2,false,3.0,NEAR_AMENITY
45232873,node/9587566626,mall,1,true,1.923,2.405,3.4,true,5.0,NEAR_AMENITY
45232873,way/1411361898,market,1,true,0.308,0.587,1.9,true,2.0,NEAR_AMENITY
45232873,node/9587253814,supermarket,1,true,0.842,1.268,2.3,true,2.0,NEAR_AMENITY
45232873,way/149904638,park,1,true,1.725,2.288,3.3,true,5.0,NEAR_AMENITY
45232873,node/11760158102,bus_stop,1,true,0.615,0.77,1.2,true,2.0,NEAR_AMENITY
44346372,way/230070394,hospital,1,true,1.488,1.812,3.1,,,NEAR_AMENITY
44346372,way/218852761,school,1,true,1.361,1.8,2.9,true,2.0,NEAR_AMENITY
44346372,node/9587204857,college_university,1,true,2.976,3.264,4.6,true,5.0,NEAR_AMENITY
44346372,way/1162981728,metro,1,true,3.555,7.303,9.4,false,3.0,NEAR_AMENITY
44346372,way/188114097,mall,1,true,2.451,3.13,4.9,true,5.0,NEAR_AMENITY
44346372,way/188114147,market,1,true,1.643,1.859,3.2,true,2.0,NEAR_AMENITY
44346372,way/1416495515,supermarket,1,true,1.281,3.473,5.1,false,2.0,NEAR_AMENITY
44346372,way/1308559978,park,1,true,0.274,3.392,4.6,true,5.0,NEAR_AMENITY
44346372,node/11760158105,bus_stop,1,true,1.149,2.988,4.1,false,2.0,NEAR_AMENITY
45093850,way/1010844322,hospital,1,true,0.057,1.255,2.1,,,NEAR_AMENITY
45093850,way/641389089,school,1,true,0.19,1.082,1.7,true,2.0,NEAR_AMENITY
45093850,way/1085962652,college_university,1,true,2.424,2.732,3.8,true,5.0,NEAR_AMENITY
45093850,way/1162981728,metro,1,true,10.714,11.531,12.4,false,3.0,NEAR_AMENITY
45093850,way/1152214346,mall,1,true,4.856,5.46,5.9,false,5.0,NEAR_AMENITY
45093850,node/9587618722,market,1,true,0.501,0.758,1.2,true,2.0,NEAR_AMENITY
45093850,node/13399429923,supermarket,1,true,0.103,0.069,0.2,true,2.0,NEAR_AMENITY
45093850,way/1010843998,park,1,true,0.066,0.036,0.1,true,5.0,NEAR_AMENITY
45093850,node/11761069772,bus_stop,1,true,0.463,0.787,1.1,true,2.0,NEAR_AMENITY
44622948,relation/14468398,hospital,1,true,2.033,3.293,4.3,,,NEAR_AMENITY
44622948,node/1757015268,school,1,true,0.437,0.528,1.5,true,2.0,NEAR_AMENITY
44622948,way/317064969,college_university,1,true,0.228,0.416,1.5,true,5.0,NEAR_AMENITY
44622948,way/1162981728,metro,1,true,4.051,5.285,7.3,false,3.0,NEAR_AMENITY
44622948,way/1226734708,mall,1,true,0.166,0.458,1.4,true,5.0,NEAR_AMENITY
44622948,way/420032375,market,1,true,1.018,1.558,3.0,true,2.0,NEAR_AMENITY
