:START_ID(Listing),:END_ID(Street),:TYPE
45222670__1,street|a59ca09961ce1c,ON_STREET
41003332,street|bb14a3234952d3,ON_STREET
44850086,street|1a9ba0b2d39c10,ON_STREET
45225431,street|55f22e31cd030b,ON_STREET
43489295,street|f175466c794ede,ON_STREET
44335474,street|c773d6bc42285e,ON_STREET
45260467,street|552fe81d697831,ON_STREET
45197258,street|dfbfb95ec3a569,ON_STREET
45059973,street|74b5ef97220171,ON_STREET
45229051,street|43f7cdf0349cd3,ON_STREET
45235016,street|006ac862599335,ON_STREET
45232873,street|f175466c794ede,ON_STREET
44346372,street|c773d6bc42285e,ON_STREET
45093850,street|006ac862599335,ON_STREET
44622948,street|8c932d3439db9d,ON_STREET
44785182,street|ebfeb698c3776a,ON_STREET
44107433,street|4d2fcdce00044e,ON_STREET
44986524,street|40ac31a66d07ee,ON_STREET
45102500,street|a99456ea0988f0,ON_STREET
45189967,street|b2b2e75849503c,ON_STREET
44848669,street|603750550d4a13,ON_STREET
43919030,street|1bee6b12deebc2,ON_STREET
45162235,street|603750550d4a13,ON_STREET
44845494,street|603750550d4a13,ON_STREET
44984592,street|603750550d4a13,ON_STREET
45038070,street|e0089213b2f69c,ON_STREET
44691569,street|db427a7e6c1ddb,ON_STREET
44868190,street|8b71a433c2bc09,ON_STREET
44063983,street|b09cd32f54cd52,ON_STREET
42561310,street|72f2b5953e933b,ON_STREET
43923505,street|b1e569f75ebac1,ON_STREET
45255963,street|589dad060cc8b1,ON_STREET
44742356,street|3369a385ee1731,ON_STREET
45245173,street|55f22e31cd030b,ON_STREET
43317425,street|f8a85bac37a9a8,ON_STREET
44748012,street|a59ca09961ce1c,ON_STREET
45246753,street|e0089213b2f69c,ON_STREET
45161272,street|b09cd32f54cd52,ON_STREET
45149520,street|db427a7e6c1ddb,ON_STREET
45246430,street|e0089213b2f69c,ON_STREET
43241856,street|4890f609aa55fd,ON_STREET
44756510,street|a59ca09961ce1c,ON_STREET
39130038,street|bb790b85de1a21,ON_STREET
