street_id:ID(Street),name:string,ward_id:string,city_province:string,:LABEL
street|002345283dca4a,57,ward|ho-chi-minh|phuong-binh-trung,Hồ Chí Minh,Street
street|00254e98946ac0,Số 34B,ward|ho-chi-minh|phuong-binh-trung,Hồ Chí Minh,Street
street|004027f6b00ee2,Nguyễn Duy Cung,ward|ho-chi-minh|phuong-an-hoi-tay,Hồ Chí Minh,Street
street|004d4a323bb379,Sinco,ward|ho-chi-minh|phuong-an-lac,Hồ Chí Minh,Street
street|006ac862599335,Trường Chinh,ward|ho-chi-minh|phuong-ong-hung-thuan,Hồ Chí Minh,Street
street|007816a24c1b9f,Đình Nghi Xuân,ward|ho-chi-minh|phuong-binh-tri-ong,Hồ Chí Minh,Street
street|007e6d2414232e,Số 3J,ward|ho-chi-minh|phuong-tan-thuan,Hồ Chí Minh,Street
street|0120656527c2a8,Số 6A,ward|ho-chi-minh|phuong-an-lac,Hồ Chí Minh,Street
street|017e7e66f1d738,Phạm Thế Hiển,ward|ho-chi-minh|phuong-chanh-hung,Hồ Chí Minh,Street
street|0182fa65ebcbe8,Thạnh Lộc 47,ward|ho-chi-minh|phuong-an-phu-ong,Hồ Chí Minh,Street
street|029cbf98e4d9e0,Lý Tự Trọng,ward|ho-chi-minh|phuong-ben-thanh,Hồ Chí Minh,Street
street|02b5205b6d9822,Hẻm 965/130 Quang Trung,ward|ho-chi-minh|phuong-ong-hung-thuan,Hồ Chí Minh,Street
street|02c299b770202d,Tỉnh Lộ 10,ward|ho-chi-minh|phuong-binh-tan,Hồ Chí Minh,Street
street|02c978ede2c39f,Hoàng Diệu,ward|ho-chi-minh|phuong-xom-chieu,Hồ Chí Minh,Street
street|02cd4266381ff9,Lương Minh Nguyệt,ward|ho-chi-minh|phuong-phu-thanh,Hồ Chí Minh,Street
street|02ef629cebb04d,Đào Duy Anh,ward|ho-chi-minh|phuong-uc-nhuan,Hồ Chí Minh,Street
street|03968ce3503d9e,Số 13A,ward|ho-chi-minh|phuong-an-lac,Hồ Chí Minh,Street
street|03ab2e3a1d7248,Số 53,ward|ho-chi-minh|phuong-hiep-binh,Hồ Chí Minh,Street
street|03ac3f377191d6,Số 33,ward|ho-chi-minh|phuong-an-lac,Hồ Chí Minh,Street
street|040ada393fe60a,Lê Chí Dân,ward|ho-chi-minh|phuong-chanh-hiep,Hồ Chí Minh,Street
street|042b45e5b75b5f,Tân Chánh Hiệp 18,ward|ho-chi-minh|phuong-trung-my-tay,Hồ Chí Minh,Street
street|044f795b9b6534,Hẻm 71 Đường Số 359,ward|ho-chi-minh|phuong-phuoc-long,Hồ Chí Minh,Street
street|04a885f47d0517,Trung Mỹ Tây 9,ward|ho-chi-minh|phuong-trung-my-tay,Hồ Chí Minh,Street
street|054d42cd498a51,Số 8,ward|ho-chi-minh|phuong-thong-tay-hoi,Hồ Chí Minh,Street
street|054eda949d2cdb,D16,ward|ho-chi-minh|phuong-tay-thanh,Hồ Chí Minh,Street
street|055805e2b4c6cf,Lý Thái Tông,ward|ho-chi-minh|phuong-tam-thang,Hồ Chí Minh,Street
