:START_ID(Ward),:END_ID(FormerAdminArea),supporting_listing_count:int,:TYPE
ward|ho-chi-minh|phuong-an-hoi-ong,former-area|ho-chi-minh|quan-go-vap,23,MAPPED_FROM
ward|ho-chi-minh|phuong-an-hoi-tay,former-area|ho-chi-minh|quan-go-vap,67,MAPPED_FROM
ward|ho-chi-minh|phuong-an-khanh,former-area|ho-chi-minh|quan-2,59,MAPPED_FROM
ward|ho-chi-minh|phuong-an-khanh,former-area|ho-chi-minh|thanh-pho-thu-uc,1,MAPPED_FROM
ward|ho-chi-minh|phuong-an-lac,former-area|ho-chi-minh|quan-binh-tan,59,MAPPED_FROM
ward|ho-chi-minh|phuong-an-nhon,former-area|ho-chi-minh|quan-go-vap,6,MAPPED_FROM
ward|ho-chi-minh|phuong-an-ong,former-area|ho-chi-minh|quan-5,17,MAPPED_FROM
ward|ho-chi-minh|phuong-an-phu-ong,former-area|ho-chi-minh|quan-12,53,MAPPED_FROM
ward|ho-chi-minh|phuong-ban-co,former-area|ho-chi-minh|quan-3,38,MAPPED_FROM
ward|ho-chi-minh|phuong-bay-hien,former-area|ho-chi-minh|quan-tan-binh,41,MAPPED_FROM
ward|ho-chi-minh|phuong-ben-thanh,former-area|ho-chi-minh|quan-1,33,MAPPED_FROM
ward|ho-chi-minh|phuong-binh-duong,former-area|binh-duong|thanh-pho-thu-dau-mot,3,MAPPED_FROM
ward|ho-chi-minh|phuong-binh-hoa,former-area|binh-duong|thanh-pho-thuan-an,5,MAPPED_FROM
ward|ho-chi-minh|phuong-binh-hung-hoa,former-area|ho-chi-minh|quan-binh-tan,31,MAPPED_FROM
ward|ho-chi-minh|phuong-binh-loi-trung,former-area|ho-chi-minh|quan-binh-thanh,58,MAPPED_FROM
ward|ho-chi-minh|phuong-binh-ong,former-area|ho-chi-minh|huyen-binh-chanh,1,MAPPED_FROM
ward|ho-chi-minh|phuong-binh-ong,former-area|ho-chi-minh|quan-8,12,MAPPED_FROM
ward|ho-chi-minh|phuong-binh-phu,former-area|ho-chi-minh|quan-6,7,MAPPED_FROM
ward|ho-chi-minh|phuong-binh-phu,former-area|ho-chi-minh|quan-8,5,MAPPED_FROM
ward|ho-chi-minh|phuong-binh-quoi,former-area|ho-chi-minh|quan-binh-thanh,1,MAPPED_FROM
ward|ho-chi-minh|phuong-binh-tan,former-area|ho-chi-minh|quan-binh-tan,18,MAPPED_FROM
ward|ho-chi-minh|phuong-binh-tay,former-area|ho-chi-minh|quan-6,8,MAPPED_FROM
ward|ho-chi-minh|phuong-binh-thanh,former-area|ho-chi-minh|quan-binh-thanh,50,MAPPED_FROM
ward|ho-chi-minh|phuong-binh-thoi,former-area|ho-chi-minh|quan-11,4,MAPPED_FROM
ward|ho-chi-minh|phuong-binh-tien,former-area|ho-chi-minh|quan-6,1,MAPPED_FROM
ward|ho-chi-minh|phuong-binh-tri-ong,former-area|ho-chi-minh|quan-binh-tan,45,MAPPED_FROM
ward|ho-chi-minh|phuong-binh-trung,former-area|ho-chi-minh|quan-2,46,MAPPED_FROM
ward|ho-chi-minh|phuong-binh-trung,former-area|ho-chi-minh|thanh-pho-thu-uc,1,MAPPED_FROM
ward|ho-chi-minh|phuong-cat-lai,former-area|ho-chi-minh|quan-2,31,MAPPED_FROM
ward|ho-chi-minh|phuong-cau-kieu,former-area|ho-chi-minh|quan-phu-nhuan,61,MAPPED_FROM
ward|ho-chi-minh|phuong-cau-ong-lanh,former-area|ho-chi-minh|quan-1,50,MAPPED_FROM
ward|ho-chi-minh|phuong-chanh-hiep,former-area|binh-duong|thanh-pho-thu-dau-mot,1,MAPPED_FROM
ward|ho-chi-minh|phuong-chanh-hung,former-area|ho-chi-minh|quan-8,27,MAPPED_FROM
ward|ho-chi-minh|phuong-chanh-phu-hoa,former-area|binh-duong|thanh-pho-ben-cat,1,MAPPED_FROM
ward|ho-chi-minh|phuong-cho-lon,former-area|ho-chi-minh|quan-5,14,MAPPED_FROM
ward|ho-chi-minh|phuong-cho-quan,former-area|ho-chi-minh|quan-5,23,MAPPED_FROM
ward|ho-chi-minh|phuong-di-an,former-area|binh-duong|thanh-pho-di-an,17,MAPPED_FROM
ward|ho-chi-minh|phuong-dien-hong,former-area|ho-chi-minh|quan-10,29,MAPPED_FROM
ward|ho-chi-minh|phuong-gia-inh,former-area|ho-chi-minh|quan-binh-thanh,48,MAPPED_FROM
ward|ho-chi-minh|phuong-go-vap,former-area|ho-chi-minh|quan-go-vap,24,MAPPED_FROM
ward|ho-chi-minh|phuong-hanh-thong,former-area|ho-chi-minh|quan-go-vap,20,MAPPED_FROM
ward|ho-chi-minh|phuong-hiep-binh,former-area|ho-chi-minh|thanh-pho-thu-uc,61,MAPPED_FROM
ward|ho-chi-minh|phuong-hoa-binh,former-area|ho-chi-minh|quan-11,6,MAPPED_FROM
ward|ho-chi-minh|phuong-hoa-hung,former-area|ho-chi-minh|quan-10,71,MAPPED_FROM
ward|ho-chi-minh|phuong-hoa-hung,former-area|ho-chi-minh|quan-11,1,MAPPED_FROM
ward|ho-chi-minh|phuong-khanh-hoi,former-area|ho-chi-minh|quan-4,25,MAPPED_FROM
ward|ho-chi-minh|phuong-linh-xuan,former-area|ho-chi-minh|thanh-pho-thu-uc,24,MAPPED_FROM
ward|ho-chi-minh|phuong-long-binh,former-area|ho-chi-minh|quan-9,115,MAPPED_FROM
ward|ho-chi-minh|phuong-long-binh,former-area|ho-chi-minh|thanh-pho-thu-uc,3,MAPPED_FROM
ward|ho-chi-minh|phuong-long-huong,former-area|ba-ria-vung-tau|thanh-pho-ba-ria,1,MAPPED_FROM
ward|ho-chi-minh|phuong-long-nguyen,former-area|binh-duong|thanh-pho-ben-cat,1,MAPPED_FROM
ward|ho-chi-minh|phuong-long-phuoc,former-area|ho-chi-minh|quan-9,9,MAPPED_FROM
ward|ho-chi-minh|phuong-long-phuoc,former-area|ho-chi-minh|thanh-pho-thu-uc,2,MAPPED_FROM
ward|ho-chi-minh|phuong-long-truong,former-area|ho-chi-minh|quan-9,36,MAPPED_FROM
ward|ho-chi-minh|phuong-long-truong,former-area|ho-chi-minh|thanh-pho-thu-uc,4,MAPPED_FROM
ward|ho-chi-minh|phuong-minh-phung,former-area|ho-chi-minh|quan-11,8,MAPPED_FROM
ward|ho-chi-minh|phuong-nhieu-loc,former-area|ho-chi-minh|quan-3,40,MAPPED_FROM
ward|ho-chi-minh|phuong-ong-hoa,former-area|binh-duong|thanh-pho-di-an,8,MAPPED_FROM
ward|ho-chi-minh|phuong-ong-hung-thuan,former-area|ho-chi-minh|quan-12,22,MAPPED_FROM
ward|ho-chi-minh|phuong-phu-inh,former-area|ho-chi-minh|quan-8,34,MAPPED_FROM
ward|ho-chi-minh|phuong-phu-lam,former-area|ho-chi-minh|quan-6,3,MAPPED_FROM
ward|ho-chi-minh|phuong-phu-loi,former-area|binh-duong|thanh-pho-thu-dau-mot,6,MAPPED_FROM
ward|ho-chi-minh|phuong-phu-nhuan,former-area|ho-chi-minh|quan-phu-nhuan,56,MAPPED_FROM
ward|ho-chi-minh|phuong-phu-thanh,former-area|ho-chi-minh|quan-tan-phu,21,MAPPED_FROM
ward|ho-chi-minh|phuong-phu-tho,former-area|ho-chi-minh|quan-11,6,MAPPED_FROM
