ward_id:ID(Ward),name:string,normalized_name:string,aliases:string,ward_type:string,city_province:string,:LABEL
ward|ho-chi-minh|phuong-an-hoi-ong,An Hội Đông,an hoi dong,"An Hội Đông|an hoi dong|an hoi ong|An Hội Đông, Hồ Chí Minh|an hoi dong ho chi minh",phường,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-an-hoi-tay,An Hội Tây,an hoi tay,"An Hội Tây|an hoi tay|An Hội Tây, Hồ Chí Minh|an hoi tay ho chi minh",phường,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-an-khanh,An Khánh,an khanh,"An Khánh|an khanh|An Khánh, Hồ Chí Minh|an khanh ho chi minh",phường,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-an-lac,An Lạc,an lac,"An Lạc|an lac|An Lạc, Hồ Chí Minh|an lac ho chi minh",phường,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-an-nhon,An Nhơn,an nhon,"An Nhơn|an nhon|An Nhơn, Hồ Chí Minh|an nhon ho chi minh",phường,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-an-ong,An Đông,an dong,"An Đông|an dong|an ong|An Đông, Hồ Chí Minh|an dong ho chi minh",phường,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-an-phu-ong,An Phú Đông,an phu dong,"An Phú Đông|an phu dong|an phu ong|An Phú Đông, Hồ Chí Minh|an phu dong ho chi minh",phường,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-ban-co,Bàn Cờ,ban co,"Bàn Cờ|ban co|Bàn Cờ, Hồ Chí Minh|ban co ho chi minh",phường,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-bay-hien,Bảy Hiền,bay hien,"Bảy Hiền|bay hien|Bảy Hiền, Hồ Chí Minh|bay hien ho chi minh",phường,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-ben-thanh,Bến Thành,ben thanh,"Bến Thành|ben thanh|Bến Thành, Hồ Chí Minh|ben thanh ho chi minh",phường,Hồ Chí Minh,Ward
ward|ho-chi-minh|phuong-binh-duong,Bình Dương,binh duong,"Bình Dương|binh duong|Bình Dương, Hồ Chí Minh|binh duong ho chi minh",phường,Hồ Chí Minh,Ward
