result_set_id,user_id,raw_query,n_hits,hit_listing_ids,ground_truth_listing_ids,live_pred_listing_ids
rs_100000,usr_1000,nhà đất Phường Thới Hòa giá vừa phải cho gia đình,0,,45224442;44620727;45077780;45005790;44841772;45017137;45010170;45194899;44041264;44753361,
rs_100001,usr_1000,nhà đất Xã Tân Vĩnh Lộc giá mềm cho gia đình,0,,45077780;44620727;45078935;43530901;45010170;44897223;45236270;45217838;45228729;45207388,
rs_100002,usr_1000,"nhà ở Xã Trừ Văn Thố thoáng mát 3pn, sang trọng",0,,43381561;43530901;43821501;45218235;44948688;45210229;45217838;45235813;45205834;44244182,
rs_100003,usr_1000,nhà đất Xã Tân Vĩnh Lộc rẻ một chút cho gia đình,0,,45077780;44841772;45081886;44864335;44815299;45171748;45207388;45236710;45244241;43903476,
rs_100004,usr_1000,tìm nhà đất Xã Hiệp Phước rẻ một chút gần trường học,0,,44945779;44620331;43821501;44845494;45236270;45262776;45255987;45198154;45207388;45205834,
rs_100005,usr_1000,nhà đất Phường Bảy Hiền bình dân cho gia đình,0,,45215996;44620727;45200975;43821501;45114247;44843875;45017137;45010170;45162235;45145693,
rs_100006,usr_1001,căn hộ Phường Tăng Nhơn Phú rẻ một chút cho vợ chồng mới cưới,0,,44796007;43349917;44562715;45010170;44753361;44845494;44864335;45179775;45244830;45153043,
rs_100007,usr_1001,"cần mua căn hộ 2 phòng ngủ ở Xã Tân Nhựt để ở, bình dân",0,,45017137;44948688;44864335;45222811;45244830;44748012;44762845;44786591;45210408;43478669,
rs_100008,usr_1001,tìm căn hộ Phường Tăng Nhơn Phú giá tốt gần trường học,0,,43537036;44843875;44863961;45215996;44748012;44762845;44786591;43926137;44880200;45075183,
rs_100009,usr_1001,tìm căn hộ Phường Tăng Nhơn Phú rẻ một chút gần trường học,0,,44422861;43349917;43537036;44967290;44562715;44843875;45194899;44845848;44783081;44845494,
rs_100010,usr_1001,căn hộ Xã Tân Nhựt rẻ một chút cho gia đình,0,,45162235;44948688;44753361;44864335;44845848;45211193;43530901;43478669;44904039;45095425,
rs_100011,usr_1002,căn hộ Phường Long Bình bình dân dòng tiền tốt,1,45219182,43715977;45219182;43317425;43241856;44239561;43725380;43768536;44404341;45145693;43344418,44256714;44403119;45235201;45219182;44988313
rs_100014,usr_1002,tìm căn hộ Phường Long Bình giá tốt tiềm năng tăng giá,1,44403119,44403119;44239561;44350831;44731068;45188401;44945779;45145693;45219753;44620331;43863458,44403119;44256714;45235201;45219182;44988313
rs_100015,usr_1002,căn hộ Phường Long Bình rẻ một chút dòng tiền tốt,1,45219182,45266104;44404468;43478669;45219182;43317425;43768536;44404341;44748012;45219725;44729361,44256714;44403119;45219182;45235201;44988313
rs_100016,usr_1002,căn hộ Phường Long Bình giá rẻ dòng tiền tốt,0,,45266104;43317425;44239561;45057690;45219725;44532012;44620331;44048727;44631355;44632413,44256714;44403119;45219182;45235201;44988313
rs_100017,usr_1003,nhà đất Phường Phú Định tầm trung cho gia đình,0,,45225478;45181392;45111637;45254675;45032480;44872651;44023941;44288363;44241249;43492362,44372189;44492641;44743197;45116396;45085834;45237780;45099519;45269276;45169945;45054328
rs_100018,usr_1003,"nhà ở Phường Phú Định thoáng mát 3pn, rẻ một chút",1,45099519,45099519;44693702;45181392;39078021;43679734;44404468;45157429;44023941;45110126;43339881,44743197;44492641;44372189;45116396;45085834;45237780;45169945;45099519;45269276;45154879
rs_100019,usr_1003,nhà đất Phường Phú Định giá tốt cho gia đình,1,45116396,45116396;44819431;45079321;43202640;43880424;45110126;45128667;45219182;45141155;42379055,44372189;44492641;45116396;45085834;45111637;45237780;45099519;45169945;45269276;44996895
rs_100020,usr_1003,nhà đất Phường Phú Định tầm trung cho vợ chồng mới cưới,0,,44326273;45225478;45131129;44998073;45209742;43492362;45039157;45219753;44585453;43284831,44743197;44492641;44372189;45116396;45085834;45237780;45099519;45169945;45054328;45269276
rs_100021,usr_1003,nhà đất Phường Phú Định sang trọng cho gia đình,0,,45131129;45254675;45040477;44404468;43715977;44404628;45128667;44403119;43696637;43733254,44819431;45181392;45116396;45085834;45099519;45109943;44821275;45054328;45196346;44996895
rs_100022,usr_1003,tìm nhà đất Phường Phú Định rẻ một chút gần trường học,1,45269276,44492641;45269276;44879590;43436120;45219753;44988147;45138926;45219725;43284831;44731068,44372189;45111637;44693702;45116396;45085834;45237780;45099519;45269276;45169945;44996895
rs_100023,usr_1004,căn hộ Phường Long Bình giá rẻ cho vợ chồng mới cưới,1,45240205,43999966;45240205;44731068;43733254;44988147;43696637;45194899;44863961;44864335;44845494,45245632;45240205;44843130;44256714
rs_100024,usr_1004,"nhà ở Phường Xuân Hòa thoáng mát 1pn, giá rẻ",1,44843130,44843130;44239561;44468549;44729361;43321672;44143992;45162235;43241856;43436120;44849133,45245632;44256714;45240205;44843130
rs_100025,usr_1004,tìm căn hộ Phường Long Bình giá tốt gần trường học,2,45245632;44843130,44740670;44714707;45245632;44843130;44482148;43202640;44143992;44843875;45010170;45017298,44256714;45245632;44843130;45240205
rs_100026,usr_1004,tìm căn hộ Phường Long Bình rẻ một chút gần trường học,1,44843130,44988313;44843130;43589492;44404341;44897529;44815299;44863961;43880424;43411750;44107369,44256714;45245632;44843130;45240205
rs_100027,usr_1004,"cần mua căn hộ 1 phòng ngủ ở Phường Xuân Hòa để ở, giá mềm",2,44843130;45240205,44843130;45240205;44403119;44482148;44468549;43321672;43589492;44626653;44841772;45162235,45245632;45240205;44843130;44256714
rs_100028,usr_1005,căn hộ Phường Long Bình giá tốt cho gia đình,3,43733254;44406217;45057690,43733254;44406217;43696637;44729361;45057690;45235201;45075183;43381561;45204859;42182617,44406217;43733254;43589492;44740670;44714707;44719109;45057690
rs_100029,usr_1005,"nhà ở Phường Long Bình thoáng mát 1pn, rẻ một chút",2,43589492;44406217,43589492;43999966;44406217;44404341;44239561;44731068;43716231;43530901;45188401;44631355,44406217;44714707;43733254;44719109;45057690;44740670;43589492
rs_100030,usr_1005,"cần mua căn hộ 2 phòng ngủ ở Phường Long Bình để ở, rẻ một chút",0,,44988147;44143992;43768536;45204859;45073001;43381561;42182617;44643381;39387596;45084822,44406217;45057690;44740670;43999966;43733254;44988313;43589492
rs_100031,usr_1005,"nhà ở Phường Long Bình thoáng mát 1pn, giá rẻ",1,44719109,44719109;43345644;43339881;44404468;43478669;44731068;44023941;45157429;43768536;45204859,44406217;44714707;44740670;43733254;44719109;45057690;43589492
rs_100032,usr_1005,căn hộ Phường Long Bình giá mềm cho vợ chồng mới cưới,4,44714707;43589492;43733254;44406217,44714707;43589492;43733254;44406217;43999966;44239561;44241249;43693887;45077780;44620331,44406217;43733254;44714707;44740670;45057690;44719109;43589492
rs_100033,usr_1005,"nhà ở Phường Long Bình thoáng mát 1pn, giá mềm",2,44719109;44406217,44719109;43999966;44406217;44403119;44404468;43202640;45157429;43768536;43436120;44585453,44406217;43733254;44714707;44719109;45057690;43589492;44740670
rs_100034,usr_1006,tìm căn hộ Phường Long Bình cao cấp tiềm năng tăng giá,0,,43779678;45245637;44193699;43652465;45162231;45023942;43427039;41019599;43960856;44985017,44526324;44945217;45025864;44945503;45197190;45102937;45100628
rs_100035,usr_1006,nhà đất Phường Phú Thọ Hòa giá hợp lý cho thuê lại được,1,45255630,45255630;44794760;45228435;45162231;44048727;43284851;41019599;43492362;45084822;44532012,45233717;44991650;45249634;45265683;45255392;45255630;44855737;43941044
rs_100036,usr_1006,nhà đất Phường Phú Thọ Hòa sang trọng cho thuê lại được,1,44855737,44855737;44530340;45250823;44526324;45228435;45211123;44282741;44985017;44288363;45197190,45255630;45249634;45255392;45233717;45265683;44855737;44991650;43941044
rs_100037,usr_1006,"mua nhà đất đầu tư ở Phường Phú Thọ Hòa pháp lý rõ ràng, sang trọng",1,44991650,44991650;44847526;45043852;45250823;43652465;45211123;44984592;43825788;42177453;45040043,45255630;45249634;45255392;45265683;44855737;45233717;44991650;43941044
rs_100038,usr_1006,căn hộ Phường Long Bình khu nhà giàu dòng tiền tốt,1,44526324,44847526;44530340;45245637;45250823;44632413;44526324;43825788;43492362;44942764;44463660,44526324;45025864;44945217;45197190;45100628;44945503;45102937
rs_100039,usr_1006,tìm căn hộ Phường Xóm Chiếu vị trí đẹp tiềm năng tăng giá,0,,44530340;43779678;45250823;44794760;44632413;45228435;44984592;41019599;43427039;45084822,45025864;44945217;44526324;45197190;45100628;44945503;45102937
rs_100040,usr_1007,tìm căn hộ Phường Phú Thuận giá tốt gần trường học,4,45227501;45133822;45202954;45059343,45227501;45133822;45055545;45133806;45202954;45059343;45043852;45162231;45023942;44463660,45232873;44342167;45227501;45059343;45202945;45202954;45247231;45133822;45038070
