result_set_id,user_id,raw_query,n_hits,hit_listing_ids,ground_truth_listing_ids,live_pred_listing_ids
rs_300000,usr_1000,"nhà đất Phường Tân Định dưới 2.4 tỷ cho vợ chồng mới cưới, 2 phòng ngủ, gần trường học",6,45171748;43928437;45192150;44278606;45268389;45076045,45171748;43928437;45192150;44278606;45268389;43931812;45076045;45237769;45067608;44430840,45171748;45192150;43928437;44278606;45076045;45093806;44773630;45152695;45268389;43827262
rs_300001,usr_1000,"cần mua nhà đất 2 phòng ngủ ở Phường Tân Định để ở, dưới 2.4 tỷ, gần trường học",4,45171748;45268389;45076045;44430840,45171748;43928437;45192150;44278606;45268389;43931812;45076045;45237769;45067608;44430840,45076045;44773630;45093806;45171748;45268389;45152695;44430840;45176415;44754807;45037091
rs_300002,usr_1001,"tìm căn hộ Phường Đức Nhuận dưới 2.4 tỷ gần trường học, 2 phòng ngủ",1,44723700,44723700;45252566;45264351;45133836;45207820;45242428;45224366;45192385;45032097;45099274,45075183;44618700;45255723;45266757;45259507;45266775;44101006;44723700;45175377;45021898
rs_300003,usr_1001,"căn hộ Phường Tăng Nhơn Phú dưới 2.4 tỷ cho gia đình, 2 phòng ngủ, gần trường học",5,44422861;43349917;44046077;45251894;44953962,44531634;44796007;44422861;43349917;43537036;44967290;44046077;44626653;45251894;44953962,45166701;45251894;45007922;44953962;44422861;43349917;45177579;44046077;45118111;45159419
rs_300004,usr_1002,"mua căn hộ đầu tư ở Phường Long Bình pháp lý rõ ràng, dưới 3.0 tỷ, 2 phòng ngủ, gần trường học",1,45266104,45235201;44403119;45219182;44988313;43317425;43339881;43241856;44239561;45266104;43880424,45095507;44922077;45095425;45042172;44046077;44331203;45261874;44910889;45266104;44843875
rs_300005,usr_1002,"căn hộ Phường Long Bình dưới 3.0 tỷ cho thuê lại được, 2 phòng ngủ, gần trường học",1,45266104,45235201;44403119;45219182;44988313;43317425;43339881;43241856;44239561;45266104;43880424,45266104;43321672;44048727;43436120;44034581;44397902;43960856;44350831;43572439;44286055
rs_300006,usr_1003,"tìm căn hộ Phường An Khánh dưới 5.6 tỷ gần trường học, 1 phòng ngủ, gần bến xe buýt",3,44137008;45040121;45040043,44137008;45040121;45032480;45209742;45040159;45040477;45040043;45040570;34061984;40990762,44850086;45040121;44591760;44137008;44333099;45153972;45040043;44210257;42091112;44557949
rs_300007,usr_1003,"nhà đất Phường Phú Định dưới 5.6 tỷ cho vợ chồng mới cưới, 1 phòng ngủ, gần bến xe buýt",3,45269276;45169945;43634809,45269276;45169945;43634809;44326273;44819431;44996895;45237780;45154879;45099519;44492641,45131129;42886620;45169945;43634809;45269276;44743197;44372189;45111637;45141155;45116396
rs_300008,usr_1004,"căn hộ Phường Xuân Hòa dưới 2.4 tỷ cho gia đình, 1 phòng ngủ, gần bến xe buýt",0,,45245632;45240205;44843130;43682719;42298790;44745637;44745552;44635188;44833225;43578966,44731068;44468549;44719109;44432528;44406217;43999966;43589492;44404341;43696637;43345644
rs_300009,usr_1004,"căn hộ Phường Tân Thuận dưới 2.4 tỷ cho gia đình, 1 phòng ngủ, gần bến xe buýt",3,44335474;44525010;44574182,44335474;44346372;44525010;43211541;45100589;43548457;45151230;44372316;44574182;43533970,45143438;44525010;45267919;44335474;44558312;44574182;44558218;45159682;44487371;45268380
