listing_id,rank,neighbor_id,score
44419047,0,44810953,3.548
44419047,1,44942764,3.548
44419047,2,45153043,3.271
44419047,3,44733927,3.0
44419047,4,45179131,2.757
44419047,5,45138926,2.584
44419047,6,44905121,2.46
44419047,7,43499957,1.902
44733927,0,44419047,3.0
44733927,1,44810953,3.0
44733927,2,44942764,3.0
44733927,3,45153043,3.0
44733927,4,45179131,2.757
44733927,5,45138926,2.584
44733927,6,44905121,2.46
44733927,7,43499957,1.902
45138926,0,44419047,2.584
45138926,1,44733927,2.584
45138926,2,45179131,2.584
45138926,3,44810953,2.584
45138926,4,44942764,2.584
45138926,5,45153043,2.584
45138926,6,44905121,2.46
45138926,7,43499957,1.902
45179131,0,44419047,2.757
45179131,1,44733927,2.757
45179131,2,44810953,2.757
45179131,3,44942764,2.757
45179131,4,45153043,2.757
45179131,5,45138926,2.584
45179131,6,44905121,2.46
45179131,7,43499957,1.902
44810953,0,44942764,3.588
44810953,1,44419047,3.548
44810953,2,45153043,3.271
44810953,3,44733927,3.0
44810953,4,45179131,2.757
44810953,5,45138926,2.584
44810953,6,44905121,2.46
44810953,7,43499957,1.902
43499957,0,44419047,1.902
43499957,1,44733927,1.902
43499957,2,45138926,1.902
43499957,3,45179131,1.902
43499957,4,44810953,1.902
43499957,5,44905121,1.902
43499957,6,44942764,1.902
43499957,7,45153043,1.902
44905121,0,44419047,2.46
44905121,1,44733927,2.46
44905121,2,45138926,2.46
44905121,3,45179131,2.46
44905121,4,44810953,2.46
44905121,5,44942764,2.46
44905121,6,45153043,2.46
44905121,7,43499957,1.902
44942764,0,44810953,3.588
44942764,1,44419047,3.548
44942764,2,45153043,3.271
44942764,3,44733927,3.0
44942764,4,45179131,2.757
44942764,5,45138926,2.584
44942764,6,44905121,2.46
44942764,7,43499957,1.902
45153043,0,44419047,3.271
45153043,1,44810953,3.271
45153043,2,44942764,3.271
45153043,3,44733927,3.0
45153043,4,45179131,2.757
45153043,5,45138926,2.584
45153043,6,44905121,2.46
45153043,7,43499957,1.902
45198685,0,44904377,2.291
45198685,1,45184650,2.291
45198685,2,45235440,2.291
45198685,3,45162505,2.291
45198685,4,44682333,2.291
45198685,5,44920655,2.143
45198685,6,45243923,2.114
44904377,0,45235440,4.015
44904377,1,45184650,3.392
44904377,2,44682333,3.239
44904377,3,45162505,2.967
44904377,4,45198685,2.291
44904377,5,44920655,2.143
44904377,6,45243923,2.114
45243923,0,45198685,2.114
45243923,1,44904377,2.114
45243923,2,44920655,2.114
45243923,3,45184650,2.114
45243923,4,45235440,2.114
45243923,5,45162505,2.114
45243923,6,44682333,2.114
44920655,0,45198685,2.143
44920655,1,44904377,2.143
44920655,2,45184650,2.143
44920655,3,45235440,2.143
44920655,4,45162505,2.143
44920655,5,44682333,2.143
44920655,6,45243923,2.114
45184650,0,44904377,3.392
45184650,1,45235440,3.392
45184650,2,44682333,3.239
45184650,3,45162505,2.967
45184650,4,45198685,2.291
45184650,5,44920655,2.143
45184650,6,45243923,2.114
45235440,0,44904377,4.015
45235440,1,45184650,3.392
45235440,2,44682333,3.239
45235440,3,45162505,2.967
45235440,4,45198685,2.291
45235440,5,44920655,2.143
45235440,6,45243923,2.114
45162505,0,44904377,2.967
45162505,1,45184650,2.967
45162505,2,45235440,2.967
45162505,3,44682333,2.967
45162505,4,45198685,2.291
45162505,5,44920655,2.143
45162505,6,45243923,2.114
44682333,0,44904377,3.239
44682333,1,45184650,3.239
44682333,2,45235440,3.239
44682333,3,45162505,2.967
44682333,4,45198685,2.291
44682333,5,44920655,2.143
44682333,6,45243923,2.114
45175797,0,44607260,1.834
45175797,1,45195213,1.834
45175797,2,45190121,1.834
45175797,3,45128479,1.834
44607260,0,45190121,3.64
44607260,1,45195213,3.17
44607260,2,45128479,2.912
44607260,3,45175797,1.834
45195213,0,44607260,3.17
45195213,1,45190121,3.17
45195213,2,45128479,2.912
45195213,3,45175797,1.834
45190121,0,44607260,3.64
45190121,1,45195213,3.17
45190121,2,45128479,2.912
45190121,3,45175797,1.834
45128479,0,44607260,2.912
45128479,1,45195213,2.912
45128479,2,45190121,2.912
45128479,3,45175797,1.834
45093376,0,41321808,3.097
45093376,1,42981800,3.0
45093376,2,44779505,2.538
45093376,3,45140813,2.313
45093376,4,43339881,2.114
45093376,5,45199407,1.729
42981800,0,45093376,3.0
42981800,1,41321808,3.0
42981800,2,44779505,2.538
42981800,3,45140813,2.313
42981800,4,43339881,2.114
42981800,5,45199407,1.729
44779505,0,45093376,2.538
44779505,1,42981800,2.538
44779505,2,41321808,2.538
44779505,3,45140813,2.313
44779505,4,43339881,2.114
44779505,5,45199407,1.729
43339881,0,45093376,2.114
43339881,1,42981800,2.114
43339881,2,44779505,2.114
43339881,3,41321808,2.114
43339881,4,45140813,2.114
43339881,5,45199407,1.729
45199407,0,45093376,1.729
45199407,1,42981800,1.729
45199407,2,44779505,1.729
45199407,3,43339881,1.729
45199407,4,41321808,1.729
45199407,5,45140813,1.729
41321808,0,45093376,3.097
41321808,1,42981800,3.0
41321808,2,44779505,2.538
41321808,3,45140813,2.313
41321808,4,43339881,2.114
41321808,5,45199407,1.729
45140813,0,45093376,2.313
45140813,1,42981800,2.313
45140813,2,44779505,2.313
45140813,3,41321808,2.313
45140813,4,43339881,2.114
45140813,5,45199407,1.729
43683976,0,44899155,3.392
43683976,1,43452916,3.392
43683976,2,45136396,2.758
43683976,3,44588604,2.391
43683976,4,44869947,2.343
43683976,5,45076045,2.143
45076045,0,43683976,2.143
