listing_id,rank,neighbor_id,sim
45222670,0,43716231,0.9787
45222670,1,43241856,0.977
45222670,2,43733254,0.9767
45222670,3,43716508,0.9756
45222670,4,43863458,0.9749
45222670,5,44872651,0.9745
45222670,6,43679734,0.9742
45222670,7,44464018,0.9738
45222670,8,44283417,0.9736
45222670,9,44406217,0.9727
45222670,10,44464667,0.9727
45222670,11,43880424,0.9726
45222670,12,44023941,0.9723
45222670,13,44585453,0.9722
45222670,14,44006156,0.9721
45222670,15,43999966,0.972
45222670,16,44397902,0.9719
45222670,17,43317425,0.9716
45222670,18,43321672,0.9715
45222670,19,44284175,0.9705
41003332,0,45244830,0.9635
41003332,1,39770672,0.9626
41003332,2,44077990,0.9623
41003332,3,45100513,0.9604
41003332,4,44375534,0.9603
41003332,5,43839734,0.9592
41003332,6,44590405,0.9592
41003332,7,44043317,0.959
41003332,8,45158878,0.9588
41003332,9,45137809,0.9587
41003332,10,45234636,0.9583
41003332,11,44755723,0.9577
41003332,12,44990536,0.9577
41003332,13,45265586,0.9575
41003332,14,44757351,0.9573
41003332,15,44133946,0.9572
41003332,16,43572439,0.9571
41003332,17,45053777,0.9569
41003332,18,45148629,0.9564
41003332,19,45040121,0.9564
44850086,0,44375534,0.9698
44850086,1,42578626,0.9675
44850086,2,44043317,0.9671
44850086,3,43452836,0.9665
44850086,4,44427897,0.966
44850086,5,44557949,0.9659
44850086,6,45040159,0.9657
44850086,7,45040121,0.9656
44850086,8,43776876,0.9655
44850086,9,44210257,0.9655
44850086,10,44612137,0.9651
44850086,11,44591760,0.9649
44850086,12,43203408,0.9637
44850086,13,45040043,0.9635
44850086,14,44734124,0.9635
44850086,15,41811080,0.9633
44850086,16,42616372,0.9626
44850086,17,39770672,0.9625
44850086,18,43356438,0.9625
44850086,19,44781956,0.9623
45225431,0,45112600,0.9917
45225431,1,45199130,0.9866
45225431,2,45245173,0.9738
45225431,3,45175379,0.9737
45225431,4,45189689,0.9724
45225431,5,44416443,0.9723
45225431,6,43211541,0.9683
45225431,7,44335474,0.9681
45225431,8,44133946,0.9665
45225431,9,44346372,0.9659
45225431,10,44835622,0.9647
45225431,11,44656554,0.9645
45225431,12,44742649,0.9645
45225431,13,45216684,0.9644
45225431,14,44484541,0.9632
45225431,15,42423444,0.9627
45225431,16,44400338,0.9626
45225431,17,45011469,0.9622
45225431,18,44049181,0.9621
45225431,19,45024916,0.9618
43489295,0,45202954,0.975
43489295,1,45202949,0.975
43489295,2,45055545,0.9748
43489295,3,45133822,0.9733
43489295,4,45133806,0.9726
43489295,5,44622948,0.9704
43489295,6,45202945,0.9697
43489295,7,45153043,0.9682
43489295,8,45232873,0.9679
43489295,9,44781956,0.9674
43489295,10,45247231,0.9668
43489295,11,45246753,0.9668
43489295,12,42235197,0.9664
43489295,13,45260467,0.9663
43489295,14,45179775,0.9661
43489295,15,44484541,0.9658
43489295,16,43537623,0.965
43489295,17,45038070,0.9643
43489295,18,45059343,0.9642
43489295,19,44596902,0.9641
44335474,0,44346372,0.9922
44335474,1,43211541,0.9898
44335474,2,44525010,0.9778
44335474,3,45133806,0.9701
44335474,4,43548457,0.9697
44335474,5,44049181,0.9688
44335474,6,44224180,0.9683
44335474,7,45225431,0.9681
44335474,8,43317425,0.9676
44335474,9,43339881,0.9675
44335474,10,43715977,0.9673
44335474,11,45040043,0.9672
44335474,12,45248655,0.9672
44335474,13,45202945,0.9669
44335474,14,43436120,0.9667
44335474,15,43321672,0.9666
44335474,16,45229051,0.9666
44335474,17,44050164,0.9665
44335474,18,43496938,0.966
44335474,19,45027560,0.9658
45260467,0,44242606,0.9703
45260467,1,44622948,0.9691
45260467,2,45255963,0.9691
45260467,3,43489295,0.9663
45260467,4,44098771,0.9651
45260467,5,43903589,0.9651
45260467,6,43017696,0.965
45260467,7,45247231,0.9648
45260467,8,45133806,0.9646
45260467,9,43517731,0.9645
45260467,10,45055545,0.9643
45260467,11,44646251,0.9639
45260467,12,45202954,0.9637
45260467,13,45189972,0.9636
45260467,14,43228481,0.9636
45260467,15,45235440,0.9636
45260467,16,43598350,0.9633
45260467,17,44646136,0.9631
45260467,18,43797312,0.963
45260467,19,45197397,0.963
45197258,0,44823146,0.9755
45197258,1,44734340,0.9747
45197258,2,44882777,0.9741
45197258,3,44568353,0.9735
45197258,4,45229939,0.973
45197258,5,45154603,0.9723
45197258,6,45206979,0.9718
45197258,7,44482740,0.9715
45197258,8,44870654,0.9711
45197258,9,44673778,0.9705
45197258,10,44714166,0.97
45197258,11,45240735,0.9699
45197258,12,43161489,0.9698
45197258,13,44778893,0.9695
45197258,14,44992114,0.9695
45197258,15,44432528,0.9694
45197258,16,44821134,0.9693
45197258,17,44653498,0.9689
45197258,18,44186979,0.9687
45197258,19,45073172,0.9686
45059973,0,45025690,0.9616
45059973,1,45170798,0.9607
45059973,2,44009956,0.9562
45059973,3,44166950,0.9504
45059973,4,44673234,0.949
45059973,5,42379055,0.9475
45059973,6,41641818,0.9463
45059973,7,45266012,0.946
45059973,8,44871874,0.9459
45059973,9,45248206,0.9457
45059973,10,44850188,0.9446
45059973,11,45083831,0.9445
45059973,12,45159325,0.9442
45059973,13,45149886,0.9439
45059973,14,45159379,0.9436
45059973,15,44085270,0.9436
45059973,16,45113783,0.9435
45059973,17,45184505,0.9435
45059973,18,45189967,0.9434
45059973,19,45025539,0.9431
45229051,0,45184650,0.9793
45229051,1,45217453,0.9712
45229051,2,45080633,0.9712
45229051,3,45229457,0.9711
45229051,4,45100513,0.97
45229051,5,44825273,0.9693
45229051,6,45010170,0.9687
45229051,7,45217838,0.9685
45229051,8,45194899,0.9684
45229051,9,44757351,0.9682
45229051,10,44877318,0.9676
45229051,11,44590405,0.9675
45229051,12,45230255,0.9672
45229051,13,45096630,0.9672
45229051,14,44753361,0.9669
45229051,15,43827262,0.9669
45229051,16,39770672,0.9667
45229051,17,44335474,0.9666
45229051,18,45067704,0.9665
45229051,19,44894510,0.9664
45235016,0,45093850,0.9852
45235016,1,45186848,0.9826
45235016,2,45084852,0.9813
45235016,3,45070787,0.9729
45235016,4,45234641,0.9722
45235016,5,44335474,0.9627
45235016,6,45058996,0.9618
45235016,7,44815299,0.9605
45235016,8,43605480,0.9595
45235016,9,44957970,0.9594
45235016,10,45162231,0.9591
45235016,11,44843875,0.9589
45235016,12,44841772,0.9588
45235016,13,44880023,0.9588
45235016,14,44860566,0.9586
45235016,15,45017298,0.9586
45235016,16,44922077,0.9585
45235016,17,44985017,0.9579
45235016,18,40990762,0.9578
45235016,19,44525010,0.9576
45232873,0,44416443,0.972
45232873,1,45019830,0.9718
45232873,2,45247231,0.9709
45232873,3,45246753,0.9707
45232873,4,45165437,0.9705
45232873,5,44612137,0.9703
45232873,6,44596902,0.9701
45232873,7,44466821,0.9696
45232873,8,45189689,0.9693
45232873,9,45165004,0.9688
45232873,10,44990934,0.9687
45232873,11,44590405,0.9682
45232873,12,44942764,0.9681
45232873,13,45227501,0.968
45232873,14,44356263,0.968
45232873,15,44843130,0.968
45232873,16,45161284,0.9679
45232873,17,44878181,0.9679
45232873,18,43489295,0.9679
45232873,19,44487371,0.9678
44346372,0,44335474,0.9922
44346372,1,43211541,0.9874
44346372,2,44525010,0.9731
44346372,3,45133806,0.9697
44346372,4,45202945,0.9685
44346372,5,43548457,0.9671
44346372,6,45225431,0.9659
44346372,7,44714707,0.9645
44346372,8,45210408,0.9644
44346372,9,44133946,0.9639
44346372,10,43317425,0.9638
44346372,11,44049181,0.9634
44346372,12,44422861,0.9633
44346372,13,43436120,0.963
44346372,14,45024916,0.963
44346372,15,44697172,0.9627
44346372,16,43321672,0.9625
44346372,17,45246430,0.9624
44346372,18,43537623,0.9624
44346372,19,45055545,0.9624
45093850,0,45235016,0.9852
45093850,1,45186848,0.9829
45093850,2,45084852,0.9825
45093850,3,45234641,0.9789
45093850,4,45070787,0.9758
45093850,5,45058996,0.9624
45093850,6,43203408,0.96
45093850,7,42561310,0.9599
45093850,8,44552020,0.9595
45093850,9,44335474,0.959
45093850,10,45265733,0.9587
45093850,11,44815299,0.9586
45093850,12,45254034,0.9584
45093850,13,41321808,0.9584
45093850,14,44150180,0.9577
45093850,15,43247491,0.9572
45093850,16,44785182,0.9568
45093850,17,44731068,0.9566
45093850,18,44860566,0.9566
45093850,19,44880023,0.9566
44622948,0,44794760,0.977
44622948,1,45153043,0.9723
44622948,2,45040121,0.9712
44622948,3,43489295,0.9704
44622948,4,45040043,0.9701
44622948,5,44892271,0.9697
44622948,6,45186771,0.9691
44622948,7,45260467,0.9691
44622948,8,45179775,0.9674
44622948,9,45055545,0.9672
44622948,10,45133806,0.9655
44622948,11,44894510,0.9653
44622948,12,45202954,0.9651
44622948,13,45202949,0.9651
44622948,14,39130038,0.9646
44622948,15,45133822,0.9645
44622948,16,45247231,0.964
44622948,17,45019830,0.9636
44622948,18,45232873,0.9636
44622948,19,45081807,0.9633
44785182,0,44623291,0.9816
44785182,1,44753361,0.9723
44785182,2,45265733,0.9722
44785182,3,45095507,0.9717
44785182,4,45100513,0.9711
44785182,5,45209045,0.9704
44785182,6,43572439,0.97
44785182,7,45095425,0.9699
44785182,8,45210622,0.9697
44785182,9,45216684,0.9696
44785182,10,43247491,0.9695
44785182,11,44961052,0.9693
44785182,12,45167074,0.9692
44785182,13,45254034,0.9687
44785182,14,45040121,0.9685
44785182,15,44656554,0.9684
44785182,16,44783081,0.9683
44785182,17,44744909,0.9683
44785182,18,45244387,0.9682
44785182,19,45143748,0.9682
44107433,0,43238060,0.9863
44107433,1,43513035,0.9814
44107433,2,43866123,0.977
44107433,3,44150180,0.9746
44107433,4,42218073,0.9744
44107433,5,45254034,0.9742
44107433,6,44700316,0.9739
44107433,7,43247491,0.9709
44107433,8,44107369,0.9685
44107433,9,45212694,0.9635
44107433,10,45228435,0.9611
44107433,11,45202949,0.9609
44107433,12,43537623,0.9606
44107433,13,44785182,0.9605
44107433,14,45202945,0.9602
44107433,15,43211541,0.9601
44107433,16,45040121,0.96
44107433,17,44715266,0.9597
44107433,18,45024916,0.9596
44107433,19,45027560,0.9593
44986524,0,44887604,0.9904
44986524,1,44309039,0.975
44986524,2,44852119,0.9749
44986524,3,44612137,0.9726
44986524,4,45268965,0.9712
44986524,5,45048496,0.971
44986524,6,44857952,0.9707
44986524,7,43356438,0.9698
44986524,8,44141025,0.9698
44986524,9,45010170,0.9692
44986524,10,44187433,0.9691
44986524,11,45194899,0.9687
44986524,12,45011469,0.9686
44986524,13,45217838,0.9686
44986524,14,45256662,0.9683
44986524,15,45216684,0.968
44986524,16,44477502,0.9679
44986524,17,44000659,0.9679
44986524,18,44591760,0.9677
44986524,19,43849134,0.9676
45102500,0,44290256,0.9921
45102500,1,44224180,0.988
45102500,2,45102262,0.9876
45102500,3,44050164,0.9789
45102500,4,44050394,0.9782
45102500,5,44049181,0.9768
45102500,6,45219182,0.9664
45102500,7,44525010,0.9664
45102500,8,45235201,0.9659
45102500,9,44796007,0.9657
45102500,10,44709669,0.9647
45102500,11,44531634,0.9646
45102500,12,42521719,0.9643
45102500,13,44626653,0.9633
45102500,14,44283417,0.9623
45102500,15,44714707,0.9622
45102500,16,45039157,0.962
45102500,17,44464018,0.962
45102500,18,44397902,0.962
45102500,19,43874379,0.9616
45189967,0,45067704,0.9739
45189967,1,44973672,0.9724
45189967,2,43588872,0.9703
45189967,3,44910889,0.9692
45189967,4,44871995,0.9682
45189967,5,42981800,0.9682
45189967,6,45083934,0.9679
45189967,7,45088744,0.9679
45189967,8,44836443,0.9678
45189967,9,45107518,0.9677
45189967,10,44812705,0.9677
45189967,11,45227685,0.9674
45189967,12,44490870,0.9674
45189967,13,44269504,0.9673
45189967,14,45054302,0.9673
45189967,15,44456195,0.9672
45189967,16,44502536,0.9672
45189967,17,44702970,0.9672
45189967,18,45241889,0.9672
45189967,19,45186557,0.9671
44848669,0,44762845,0.9949
44848669,1,44984592,0.9889
44848669,2,44957828,0.9878
44848669,3,44863961,0.9877
44848669,4,45017137,0.9875
44848669,5,44815299,0.9874
44848669,6,44897529,0.987
44848669,7,44880023,0.9868
44848669,8,44985017,0.9866
44848669,9,44860566,0.9864
44848669,10,44864335,0.9859
44848669,11,44897223,0.9857
44848669,12,44753361,0.9849
44848669,13,44845848,0.9845
44848669,14,44957970,0.9844
44848669,15,44783081,0.9843
44848669,16,45162231,0.9842
