interaction_id,user_id,session_id,listing_id,action_type,timestamp,dwell_time_seconds,source,implicit_score,is_bounce,raw_query,inferred_intent,budget_group,filter_price_max,filter_bedrooms
evt_100039,usr_1002,sess_1002_0,43381561,view,2026-01-02T06:51:18Z,68,search_bar,0.814,False,Mua căn hộ 1 phòng ngủ Quận Tân Bình tầm trung,buy_for_living,affordable,2.7,2.0
evt_100014,usr_1000,sess_1000_0,45177611,view,2026-01-03T01:36:10Z,33,search_bar,0.678,False,Mua căn hộ 4 phòng ngủ cao cấp ở Quận 7,buy_for_living,affordable,2.4,2.0
evt_100037,usr_1002,sess_1002_0,44419047,contact,2026-01-04T09:48:26Z,39,ai_recommendation,3.548,False,Mua biệt thự Quận Bình Thạnh tầm trung,buy_for_living,affordable,2.7,2.0
evt_100042,usr_1002,sess_1002_0,44733927,save,2026-01-05T18:16:43Z,203,search_bar,3.0,False,Mua căn hộ 4 phòng ngủ Quận Bình Thạnh tầm trung,buy_for_living,affordable,2.7,2.0
evt_100074,usr_1004,sess_1004_2,44863961,view,2026-01-12T23:26:19Z,19,search_bar,0.576,False,Mua căn hộ 6 phòng ngủ Quận 2 cao cấp,buy_for_living,affordable,2.9,2.0
evt_100019,usr_1001,sess_1001_1,45198685,save,2026-01-15T13:32:21Z,52,ai_recommendation,2.291,False,Mua nhà phố 2 phòng ngủ giá rẻ ở Quận Gò Vấp,buy_for_living,affordable,2.7,2.0
evt_100073,usr_1004,sess_1004_1,45175797,save,2026-01-15T22:35:35Z,23,search_bar,1.834,False,Tìm căn hộ 4 phòng ngủ quận 1 giá rẻ,buy_for_living,affordable,2.9,2.0
evt_100065,usr_1003,sess_1003_0,45093376,share,2026-01-18T06:14:35Z,55,search_bar,3.097,False,Tìm nhà phố 1 phòng ngủ quận 2 giá rẻ,investment,affordable,3.0,1.0
evt_100057,usr_1003,sess_1003_0,42981800,save,2026-01-18T21:55:15Z,202,homepage,3.0,False,Mua căn hộ 6 phòng ngủ Quận 7 cao cấp,investment,affordable,3.0,1.0
evt_100064,usr_1003,sess_1003_0,44813625,view,2026-01-19T02:11:10Z,249,ai_recommendation,1.0,False,Tìm căn hộ 3 phòng ngủ quận 7 cao cấp,investment,affordable,3.0,1.0
evt_100060,usr_1003,sess_1003_0,44779505,contact,2026-01-19T21:11:05Z,13,homepage,2.538,False,Tìm căn hộ studio quận 9 giá rẻ,investment,affordable,3.0,1.0
evt_100002,usr_1000,sess_1000_0,43683976,contact,2026-01-21T01:58:29Z,33,search_bar,3.392,False,Mua căn hộ 3 phòng ngủ cao cấp ở Quận Thủ Đức,buy_for_living,affordable,2.4,2.0
evt_100069,usr_1004,sess_1004_1,45159575,view,2026-01-26T14:24:06Z,60,ai_recommendation,0.791,False,Tìm nhà phố 2 phòng ngủ quận 2 giá tầm trung,buy_for_living,affordable,2.9,2.0
evt_100058,usr_1003,sess_1003_0,43339881,save,2026-01-29T12:21:50Z,38,related_items,2.114,False,Tìm nhà phố 3 phòng ngủ quận 1 giá cao,investment,affordable,3.0,1.0
evt_100076,usr_1004,sess_1004_2,45256244,view,2026-01-29T17:39:26Z,71,homepage,0.823,False,Tìm căn hộ 3 phòng ngủ quận 2 giá tầm trung,buy_for_living,affordable,2.9,2.0
evt_100052,usr_1003,sess_1003_0,45220098,view,2026-01-30T02:33:45Z,38,search_bar,0.705,False,Mua đất nền Quận 1 cao cấp,investment,affordable,3.0,1.0
evt_100070,usr_1004,sess_1004_1,44607260,contact,2026-01-30T07:04:39Z,43,search_bar,3.64,False,Tìm căn hộ 3 phòng ngủ quận 2 giá rẻ,buy_for_living,affordable,2.9,2.0
evt_100033,usr_1002,sess_1002_0,44743670,view,2026-01-31T23:45:42Z,23,ai_recommendation,0.611,False,Mua căn hộ 3 phòng ngủ Quận Bình Thạnh tầm trung,buy_for_living,affordable,2.7,2.0
evt_100046,usr_1002,sess_1002_0,45138926,save,2026-02-04T23:13:56Z,87,ai_recommendation,2.584,False,Mua nhà phố 2 phòng ngủ giá rẻ ở Quận 7,buy_for_living,affordable,2.7,2.0
evt_100051,usr_1003,sess_1003_0,45114495,view,2026-02-06T23:19:30Z,7,related_items,0.4,True,Mua nhà phố 2 phòng ngủ Quận 3 tầm trung,investment,affordable,3.0,1.0
evt_100034,usr_1002,sess_1002_0,45216200,view,2026-02-10T12:04:27Z,18,search_bar,0.566,False,Mua đất nền Quận Bình Thạnh cao cấp,buy_for_living,affordable,2.7,2.0
evt_100016,usr_1000,sess_1000_0,45172741,view,2026-02-10T15:31:04Z,45,ai_recommendation,0.736,False,Mua căn hộ 1 phòng ngủ giá rẻ ở Quận Thủ Đức,buy_for_living,affordable,2.4,2.0
evt_100043,usr_1002,sess_1002_0,45140813,view,2026-02-12T01:17:06Z,19,ai_recommendation,0.576,False,Mua căn hộ 2 phòng ngủ Quận Bình Thạnh giá rẻ,buy_for_living,affordable,2.7,2.0
evt_100021,usr_1001,sess_1001_1,44904377,contact,2026-02-13T07:45:30Z,281,ai_recommendation,5.0,False,Mua căn hộ 3 phòng ngủ giá rẻ ở Quận 3,buy_for_living,affordable,2.7,2.0
evt_100075,usr_1004,sess_1004_0,44979748,view,2026-02-16T19:49:48Z,33,ai_recommendation,0.678,False,Tìm căn hộ studio quận Gò Vấp giá rẻ,buy_for_living,affordable,2.9,2.0
evt_100053,usr_1003,sess_1003_0,45253098,view,2026-02-18T23:08:35Z,186,ai_recommendation,1.0,False,Mua biệt thự 4 phòng ngủ Quận 1 tầm trung,investment,affordable,3.0,1.0
evt_100050,usr_1002,sess_1002_0,45128189,view,2026-02-19T14:39:06Z,19,ai_recommendation,0.576,False,Mua nhà phố 2 phòng ngủ giá rẻ ở Quận 7,buy_for_living,affordable,2.7,2.0
evt_100080,usr_1004,sess_1004_0,44340134,view,2026-02-21T03:17:52Z,11,related_items,0.478,False,Tìm căn hộ 2 phòng ngủ phường Dĩ An giá tầm trung,buy_for_living,affordable,2.9,2.0
evt_100027,usr_1001,sess_1001_1,45142553,view,2026-02-23T01:33:24Z,62,ai_recommendation,0.797,False,Mua căn hộ 2 phòng ngủ tầm trung ở Quận 2,buy_for_living,affordable,2.7,2.0
evt_100068,usr_1003,sess_1003_0,44442368,view,2026-02-26T06:02:34Z,22,search_bar,0.603,False,Tìm biệt thự 3 phòng ngủ quận Gò Vấp giá tầm trung,investment,affordable,3.0,1.0
evt_100078,usr_1004,sess_1004_2,45195213,contact,2026-02-28T09:24:27Z,26,ai_recommendation,3.17,False,Tìm căn hộ 3 phòng ngủ quận 3 giá tầm trung,buy_for_living,affordable,2.9,2.0
evt_100009,usr_1000,sess_1000_1,44843130,view,2026-02-28T15:05:14Z,44,ai_recommendation,0.732,False,Mua căn hộ 2 phòng ngủ giá rẻ ở Quận 3,buy_for_living,affordable,2.4,2.0
evt_100026,usr_1001,sess_1001_1,42180154,view,2026-03-01T19:16:40Z,220,ai_recommendation,1.0,False,Mua căn hộ 4 phòng ngủ cao cấp ở Quận Tân Bình,buy_for_living,affordable,2.7,2.0
evt_100013,usr_1000,sess_1000_1,44755723,view,2026-03-02T04:29:36Z,217,search_bar,1.0,False,Mua căn hộ 4 phòng ngủ cao cấp ở Quận 3,buy_for_living,affordable,2.4,2.0
evt_100063,usr_1003,sess_1003_0,45175447,view,2026-03-02T07:10:52Z,138,ai_recommendation,0.949,False,Tìm căn hộ 3 phòng ngủ quận 9 giá tầm trung,investment,affordable,3.0,1.0
evt_100024,usr_1001,sess_1001_1,45243923,save,2026-03-02T07:41:30Z,38,related_items,2.114,False,Mua căn hộ 3 phòng ngủ tầm trung ở Quận Gò Vấp,buy_for_living,affordable,2.7,2.0
evt_100006,usr_1000,sess_1000_0,45173915,view,2026-03-02T22:53:30Z,46,search_bar,0.741,False,Mua căn hộ 1 phòng ngủ giá rẻ ở Quận 1,buy_for_living,affordable,2.4,2.0
evt_100077,usr_1004,sess_1004_1,43857274,view,2026-03-06T07:25:14Z,35,homepage,0.689,False,Tìm đất nền 2 phòng ngủ quận 2 giá rẻ,buy_for_living,affordable,2.9,2.0
evt_100035,usr_1002,sess_1002_0,44522657,view,2026-03-07T17:34:53Z,27,ai_recommendation,0.641,False,Mua căn hộ 2 phòng ngủ Quận 1 giá rẻ,buy_for_living,affordable,2.7,2.0
evt_100020,usr_1001,sess_1001_0,44920655,save,2026-03-08T04:11:32Z,40,search_bar,2.143,False,Mua căn hộ 4 phòng ngủ cao cấp ở Quận Thủ Đức,buy_for_living,affordable,2.7,2.0
evt_100059,usr_1003,sess_1003_0,45189941,view,2026-03-08T23:41:57Z,65,homepage,0.806,False,Tìm nhà phố 1 phòng ngủ quận 7 giá rẻ,investment,affordable,3.0,1.0
evt_100072,usr_1004,sess_1004_2,45117378,view,2026-03-09T11:28:18Z,51,search_bar,0.76,False,Tìm căn hộ 4 phòng ngủ quận 3 giá tầm trung,buy_for_living,affordable,2.9,2.0
evt_100000,usr_1000,sess_1000_1,45076045,save,2026-03-10T18:21:18Z,40,ai_recommendation,2.143,False,Mua nhà phố 2 phòng ngủ giá rẻ ở Quận 7,buy_for_living,affordable,2.4,2.0
evt_100023,usr_1001,sess_1001_1,45197397,view,2026-03-11T17:28:12Z,131,related_items,0.939,False,Mua biệt thự 3 phòng ngủ giá rẻ ở Quận 9,buy_for_living,affordable,2.7,2.0
evt_100011,usr_1000,sess_1000_1,45063282,view,2026-03-14T04:32:32Z,47,search_bar,0.745,False,Mua căn hộ 1 phòng ngủ giá rẻ ở Quận Thủ Đức,buy_for_living,affordable,2.4,2.0
evt_100028,usr_1001,sess_1001_0,45184650,contact,2026-03-14T05:47:18Z,33,homepage,3.392,False,Mua căn hộ Quận 7 giá rẻ,buy_for_living,affordable,2.7,2.0
evt_100025,usr_1001,sess_1001_0,45235440,contact,2026-03-15T14:15:18Z,64,ai_recommendation,4.015,False,Mua căn hộ 4 phòng ngủ giá rẻ ở Quận Thủ Đức,buy_for_living,affordable,2.7,2.0
evt_100055,usr_1003,sess_1003_0,45199407,save,2026-03-17T23:47:49Z,19,homepage,1.729,False,Mua biệt thự 4 phòng ngủ Phường Long Bình cao cấp,investment,affordable,3.0,1.0
evt_100022,usr_1001,sess_1001_0,45162505,save,2026-03-19T00:41:54Z,170,ai_recommendation,2.967,False,Mua đất nền 3 phòng ngủ giá rẻ ở Phường Dĩ An,buy_for_living,affordable,2.7,2.0
evt_100041,usr_1002,sess_1002_0,45179131,share,2026-03-19T13:27:25Z,35,search_bar,2.757,False,Mua nhà phố 6 phòng ngủ Quận Bình Thạnh cao cấp,buy_for_living,affordable,2.7,2.0
evt_100067,usr_1003,sess_1003_0,41321808,contact,2026-03-20T18:21:38Z,99,homepage,4.429,False,Tìm nhà phố 3 phòng ngủ quận 9 cao cấp,investment,affordable,3.0,1.0
evt_100018,usr_1001,sess_1001_1,43797911,view,2026-03-21T03:22:51Z,18,related_items,0.566,False,Mua biệt thự 1 phòng ngủ giá rẻ ở Quận 9,buy_for_living,affordable,2.7,2.0
evt_100012,usr_1000,sess_1000_0,45249634,view,2026-03-25T17:22:32Z,42,homepage,0.724,False,Mua nhà phố 3 phòng ngủ tầm trung ở Quận Tân Bình,buy_for_living,affordable,2.4,2.0
evt_100038,usr_1002,sess_1002_0,44810953,contact,2026-03-25T19:06:11Z,169,homepage,4.94,False,Mua căn hộ 1 phòng ngủ Quận Bình Thạnh giá rẻ,buy_for_living,affordable,2.7,2.0
evt_100071,usr_1004,sess_1004_2,45190121,contact,2026-03-27T04:19:55Z,163,search_bar,4.905,False,Tìm căn hộ 1 phòng ngủ quận Thủ Đức giá tầm trung,buy_for_living,affordable,2.9,2.0
evt_100032,usr_1002,sess_1002_0,45264187,view,2026-03-28T22:23:14Z,4,search_bar,0.31,True,Mua căn hộ 3 phòng ngủ Quận 1 tầm trung,buy_for_living,affordable,2.7,2.0
evt_100008,usr_1000,sess_1000_0,44899155,share,2026-03-29T14:49:29Z,255,search_bar,4.0,False,Mua căn hộ 3 phòng ngủ cao cấp ở Quận 3,buy_for_living,affordable,2.4,2.0
evt_100056,usr_1003,sess_1003_0,45140813,save,2026-03-30T00:25:05Z,54,ai_recommendation,2.313,False,Mua căn hộ 2 phòng ngủ Quận Bình Thạnh giá rẻ,investment,affordable,3.0,1.0
evt_100049,usr_1002,sess_1002_0,43499957,save,2026-03-30T17:18:20Z,26,related_items,1.902,False,Mua căn hộ 6 phòng ngủ Quận 2 cao cấp,buy_for_living,affordable,2.7,2.0
evt_100001,usr_1000,sess_1000_0,44626301,view,2026-03-31T10:41:36Z,49,search_bar,0.753,False,Mua nhà phố 1 phòng ngủ giá rẻ ở Quận Thủ Đức,buy_for_living,affordable,2.4,2.0
evt_100029,usr_1001,sess_1001_0,45176118,view,2026-04-01T20:07:17Z,66,homepage,0.809,False,Mua căn hộ 3 phòng ngủ Quận Thủ Đức giá rẻ,buy_for_living,affordable,2.7,2.0
evt_100079,usr_1004,sess_1004_1,45128479,share,2026-04-01T22:41:59Z,43,homepage,2.912,False,Tìm căn hộ 6 phòng ngủ quận Thủ Đức cao cấp,buy_for_living,affordable,2.9,2.0
evt_100003,usr_1000,sess_1000_1,44588604,save,2026-04-02T20:44:28Z,62,search_bar,2.391,False,Mua căn hộ 2 phòng ngủ giá rẻ ở Quận 3,buy_for_living,affordable,2.4,2.0
evt_100040,usr_1002,sess_1002_0,44905121,save,2026-04-06T05:04:54Z,70,search_bar,2.46,False,Mua căn hộ 2 phòng ngủ tầm trung ở Quận 2,buy_for_living,affordable,2.7,2.0
evt_100045,usr_1002,sess_1002_0,43605274,view,2026-04-06T08:50:05Z,62,search_bar,0.797,False,Mua căn hộ 4 phòng ngủ Quận Gò Vấp tầm trung,buy_for_living,affordable,2.7,2.0
evt_100044,usr_1002,sess_1002_0,45256206,view,2026-04-09T00:16:46Z,110,search_bar,0.906,False,Mua căn hộ 2 phòng ngủ Quận 9 tầm trung,buy_for_living,affordable,2.7,2.0
evt_100036,usr_1002,sess_1002_0,44942764,share,2026-04-10T00:49:17Z,105,related_items,3.588,False,Mua căn hộ 2 phòng ngủ tầm trung ở Quận 2,buy_for_living,affordable,2.7,2.0
evt_100010,usr_1000,sess_1000_1,44494201,view,2026-04-10T09:22:30Z,20,search_bar,0.586,False,Mua nhà phố 3 phòng ngủ tầm trung ở Quận 2,buy_for_living,affordable,2.4,2.0
evt_100047,usr_1002,sess_1002_0,44932111,view,2026-04-12T17:57:37Z,20,related_items,0.586,False,Mua căn hộ 3 phòng ngủ Quận 7 cao cấp,buy_for_living,affordable,2.7,2.0
evt_100005,usr_1000,sess_1000_1,43452916,contact,2026-04-14T08:28:14Z,92,homepage,4.36,False,Mua căn hộ 6 phòng ngủ cao cấp ở Quận 9,buy_for_living,affordable,2.4,2.0
evt_100061,usr_1003,sess_1003_0,45019432,view,2026-04-14T20:08:51Z,73,ai_recommendation,0.828,False,Tìm căn hộ 6 phòng ngủ quận 3 cao cấp,investment,affordable,3.0,1.0
evt_100031,usr_1002,sess_1002_0,45153043,contact,2026-04-16T00:41:43Z,29,homepage,3.271,False,Mua căn hộ 3 phòng ngủ Quận Thủ Đức giá rẻ,buy_for_living,affordable,2.7,2.0
evt_100081,usr_1004,sess_1004_0,44558902,view,2026-04-17T17:40:54Z,45,ai_recommendation,0.736,False,Tìm nhà phố 6 phòng ngủ quận 9 cao cấp,buy_for_living,affordable,2.9,2.0
evt_100048,usr_1002,sess_1002_0,45072572,view,2026-04-20T03:08:31Z,570,ai_recommendation,1.0,False,Mua đất nền Quận Thủ Đức cao cấp,buy_for_living,affordable,2.7,2.0
evt_100030,usr_1001,sess_1001_1,44682333,contact,2026-04-22T17:35:28Z,28,search_bar,3.239,False,Mua biệt thự 5 phòng ngủ Quận 7 cao cấp,buy_for_living,affordable,2.7,2.0
evt_100054,usr_1003,sess_1003_0,45223953,view,2026-04-27T19:59:42Z,15,homepage,0.533,False,Mua căn hộ 2 phòng ngủ Quận Thủ Đức giá rẻ,investment,affordable,3.0,1.0
evt_100017,usr_1000,sess_1000_0,45136396,save,2026-04-28T01:49:04Z,118,search_bar,2.758,False,Mua nhà phố 3 phòng ngủ tầm trung ở Phường Dĩ An,buy_for_living,affordable,2.4,2.0
