interaction_id,result_set_id,user_id,session_id,listing_id,rank_position,action_type,timestamp,dwell_time_seconds,source,implicit_score,is_bounce
evt_200259,rs_300134,usr_1052,sess_1052_0,44927823,2,view,2026-01-01T13:52:54Z,15,search_bar,0.533,False
evt_200684,rs_300348,usr_1141,sess_1141_0,45240198,1,view,2026-01-02T06:23:27Z,31,ai_recommendation,0.667,False
evt_200620,rs_300313,usr_1127,sess_1127_0,44448048,1,view,2026-01-03T07:17:16Z,25,homepage,0.627,False
evt_200783,rs_300392,usr_1160,sess_1160_0,44893598,1,save,2026-01-03T12:48:49Z,34,related_items,2.052,False
evt_200782,rs_300392,usr_1160,sess_1160_0,45048496,0,view,2026-01-03T12:50:30Z,34,homepage,0.684,False
evt_200252,rs_300129,usr_1050,sess_1050_0,45103700,1,view,2026-01-03T13:53:40Z,24,ai_recommendation,0.619,False
evt_200251,rs_300129,usr_1050,sess_1050_0,45025394,0,contact,2026-01-03T13:56:07Z,114,ai_recommendation,4.564,False
evt_200225,rs_300115,usr_1044,sess_1044_0,45032480,0,view,2026-01-04T04:27:19Z,186,homepage,1.0,False
evt_200227,rs_300115,usr_1044,sess_1044_0,45153972,2,share,2026-01-04T04:30:03Z,61,ai_recommendation,3.176,False
evt_200226,rs_300115,usr_1044,sess_1044_0,45209742,1,view,2026-01-04T04:32:52Z,321,ai_recommendation,1.0,False
evt_200083,rs_300041,usr_1015,sess_1015_0,45072202,0,contact,2026-01-04T09:10:38Z,18,related_items,2.832,False
evt_200595,rs_300301,usr_1122,sess_1122_0,44740670,0,view,2026-01-04T21:36:31Z,11,search_bar,0.478,False
evt_200750,rs_300379,usr_1155,sess_1155_0,44604418,0,view,2026-01-05T01:19:55Z,40,ai_recommendation,0.714,False
evt_200159,rs_300080,usr_1030,sess_1030_0,45211123,0,view,2026-01-05T16:53:27Z,7,ai_recommendation,0.4,True
evt_200866,rs_300432,usr_1176,sess_1176_0,44077565,1,save,2026-01-05T17:25:45Z,20,related_items,1.757,False
evt_200867,rs_300432,usr_1176,sess_1176_0,43692251,2,view,2026-01-05T17:26:47Z,174,ai_recommendation,0.994,False
evt_200865,rs_300432,usr_1176,sess_1176_0,43569738,0,contact,2026-01-05T17:33:27Z,34,related_items,3.42,False
evt_200488,rs_300248,usr_1099,sess_1099_0,45224442,0,view,2026-01-05T18:07:16Z,12,ai_recommendation,0.493,False
evt_200019,rs_300010,usr_1004,sess_1004_0,45240205,1,view,2026-01-06T13:17:15Z,33,ai_recommendation,0.678,False
evt_200018,rs_300010,usr_1004,sess_1004_0,45245632,0,save,2026-01-06T13:20:03Z,57,homepage,2.343,False
evt_200020,rs_300010,usr_1004,sess_1004_0,44843130,2,share,2026-01-06T13:24:58Z,28,search_bar,2.591,False
evt_200229,rs_300117,usr_1045,sess_1045_0,45232601,2,save,2026-01-06T13:40:31Z,65,search_bar,2.418,False
evt_200175,rs_300089,usr_1034,sess_1034_0,45178550,0,view,2026-01-06T16:11:28Z,27,search_bar,0.641,False
evt_200100,rs_300049,usr_1019,sess_1019_0,45256231,1,view,2026-01-07T05:49:34Z,16,search_bar,0.545,False
evt_200752,rs_300380,usr_1155,sess_1155_0,43775873,1,save,2026-01-07T14:30:34Z,28,homepage,1.943,False
evt_200753,rs_300380,usr_1155,sess_1155_0,44346982,2,view,2026-01-07T14:32:22Z,71,homepage,0.823,False
evt_200751,rs_300380,usr_1155,sess_1155_0,44604418,0,view,2026-01-07T14:32:27Z,60,related_items,0.791,False
evt_200495,rs_300251,usr_1101,sess_1101_2,45186062,1,view,2026-01-07T14:44:52Z,51,search_bar,0.76,False
evt_200494,rs_300251,usr_1101,sess_1101_2,45249483,0,share,2026-01-07T14:52:54Z,91,ai_recommendation,3.479,False
evt_200496,rs_300251,usr_1101,sess_1101_2,45105664,2,view,2026-01-07T14:53:06Z,233,search_bar,1.0,False
evt_200612,rs_300310,usr_1126,sess_1126_1,44400338,0,contact,2026-01-07T15:23:16Z,31,homepage,3.333,False
evt_200613,rs_300310,usr_1126,sess_1126_1,43849134,1,view,2026-01-07T15:25:09Z,17,search_bar,0.556,False
evt_200176,rs_300090,usr_1034,sess_1034_1,44508062,1,view,2026-01-07T22:09:16Z,9,ai_recommendation,0.443,True
evt_200823,rs_300409,usr_1166,sess_1166_0,44345057,2,view,2026-01-08T00:24:01Z,144,ai_recommendation,0.957,False
evt_200821,rs_300409,usr_1166,sess_1166_0,44464695,0,view,2026-01-08T00:29:11Z,32,search_bar,0.673,False
evt_200822,rs_300409,usr_1166,sess_1166_0,44807125,1,save,2026-01-08T00:31:23Z,85,ai_recommendation,2.571,False
evt_200188,rs_300096,usr_1037,sess_1037_0,45092572,2,view,2026-01-08T01:55:31Z,52,related_items,0.764,False
evt_200187,rs_300096,usr_1037,sess_1037_0,45190121,0,view,2026-01-08T02:01:04Z,108,search_bar,0.902,False
evt_200570,rs_300289,usr_1117,sess_1117_0,45244476,0,view,2026-01-08T03:21:02Z,30,ai_recommendation,0.661,False
evt_200571,rs_300289,usr_1117,sess_1117_0,44910889,1,view,2026-01-08T03:23:36Z,116,ai_recommendation,0.916,False
evt_200572,rs_300289,usr_1117,sess_1117_0,44634121,2,save,2026-01-08T03:25:19Z,78,search_bar,2.522,False
evt_200691,rs_300352,usr_1143,sess_1143_0,45249921,1,view,2026-01-08T07:50:03Z,63,ai_recommendation,0.8,False
evt_200690,rs_300352,usr_1143,sess_1143_0,44742828,0,share,2026-01-08T07:50:40Z,66,related_items,3.235,False
evt_200054,rs_300028,usr_1010,sess_1010_0,45019830,1,save,2026-01-08T08:43:34Z,35,homepage,2.068,False
evt_200582,rs_300295,usr_1119,sess_1119_1,45181136,0,view,2026-01-08T12:15:37Z,8,search_bar,0.423,True
evt_200471,rs_300239,usr_1096,sess_1096_0,45072572,1,view,2026-01-08T12:32:54Z,119,related_items,0.921,False
evt_200470,rs_300239,usr_1096,sess_1096_0,45050074,0,view,2026-01-08T12:37:48Z,15,search_bar,0.533,False
evt_200605,rs_300307,usr_1125,sess_1125_0,45111083,0,view,2026-01-08T14:40:05Z,33,search_bar,0.678,False
evt_200606,rs_300307,usr_1125,sess_1125_0,45188438,1,view,2026-01-08T14:43:53Z,33,ai_recommendation,0.678,False
evt_200607,rs_300307,usr_1125,sess_1125_0,45244640,2,share,2026-01-08T14:47:53Z,30,search_bar,2.642,False
evt_200239,rs_300122,usr_1047,sess_1047_0,44466821,1,contact,2026-01-08T20:29:47Z,91,ai_recommendation,4.349,False
evt_200238,rs_300122,usr_1047,sess_1047_0,45063282,0,contact,2026-01-08T20:32:25Z,178,homepage,4.989,False
evt_200240,rs_300122,usr_1047,sess_1047_0,45025194,2,view,2026-01-08T20:36:55Z,256,ai_recommendation,1.0,False
evt_200808,rs_300403,usr_1164,sess_1164_1,43544584,0,view,2026-01-08T21:32:03Z,58,ai_recommendation,0.784,False
