listing_id,popularity
44385645,0.1292
44430840,0.0936
45217702,0.3598
45128126,0.0897
45209564,0.2251
45063282,0.0387
44281973,0.4367
45072815,0.2634
44744909,0.0776
45194196,0.3738
45224178,0.1602
44748663,0.0741
45260467,0.432
44963047,0.0535
45230461,0.2158
45213326,0.2561
44398073,0.0827
44815225,0.0998
45178137,0.1681
45235016,0.4258
44464018,0.1655
44786591,0.3142
45058266,0.2365
45007564,0.1466
44735546,0.0805
45207129,0.0983
44590405,0.3279
45233559,0.1944
44701389,0.1962
45259366,0.4324
45271919,0.029
45265594,0.3361
45230255,0.4042
45097499,0.5495
44864335,0.4177
45179572,0.1951
45197030,0.0766
45082255,0.2506
45192150,0.3931
45147484,0.1556
45017298,0.4282
45246455,0.0482
43734431,0.0329
44843130,0.6859
44915785,0.0464
45217777,0.1971
44962765,0.3372
45162505,0.1408
45082489,0.4161
44843875,0.7331
45061303,0.303
45134992,0.1938
45054497,0.1371
44624437,0.1425
45071051,0.3017
44403119,0.4979
44619715,0.1435
44526324,0.0496
45263425,0.0441
45182464,0.112
44243862,0.105
44945503,0.3675
45245632,0.2708
45057652,0.2562
45240083,0.3774
45128667,0.0497
45103339,0.2208
43698050,0.2257
45266829,0.4998
45144416,0.1509
44018332,0.292
44784199,0.1629
44986630,0.5273
45177611,0.245
45194032,0.117
44617350,0.1989
45269276,0.2954
44954094,0.057
45085955,0.6868
45186591,0.234
44672339,0.0348
44740670,0.3485
44335474,0.2361
45245657,0.1482
44951818,0.0431
45206831,0.0626
43513035,0.318
45186439,0.0911
45238334,0.0445
45210238,0.147
45126932,0.2876
45207061,0.2578
45073172,0.5339
45230039,0.7224
44881605,0.2085
43679734,0.2024
44845494,1.0
45170798,0.091
44900300,0.2293
44492541,0.0353
45189864,0.3236
45137642,0.0941
44856748,0.1861
45255784,0.1918
44781792,0.3445
45055816,0.0893
44419144,0.1758
45258179,0.0881
43529769,0.0777
44990934,0.4178
44089093,0.1334
44340134,0.2593
43248160,0.0606
45266718,0.2024
43923505,0.0891
45055037,0.0635
44947883,0.2105
44565872,0.365
45102262,0.2189
45237121,0.2424
45098440,0.1553
44404628,0.5086
45155645,0.2084
43632247,0.2644
45158736,0.1699
43481818,0.106
44542530,0.0752
43411750,0.196
45022529,0.0937
45099274,0.0431
43963943,0.3484
45116396,0.1711
44928768,0.5311
45070876,0.327
45100589,0.2113
45140058,0.245
45025850,0.0431
44821696,0.0862
45142553,0.46
44607479,0.2334
45161952,0.2123
45190193,0.2811
45058996,0.1989
45267089,0.4541
44440279,0.1831
45189941,0.1871
44549533,0.0393
45204718,0.0713
45262674,0.1547
45201686,0.4015
45230396,0.0348
45181136,0.143
44562367,0.293
43489295,0.1118
44359327,0.3297
45228540,0.3572
45155260,0.2899
44416443,0.1206
45252747,0.2747
44945238,0.0477
44837561,0.0436
45095841,0.3257
43827731,0.0857
44949894,0.3046
44816319,0.1786
43436120,0.0804
45255012,0.1711
45085834,0.1944
45200939,0.2669
44995636,0.3103
44593189,0.122
45104897,0.088
44126704,0.3227
45004615,0.057
43733254,0.2522
45143438,0.3299
44819746,0.0918
45113170,0.0716
44234748,0.3164
45218954,0.0956
45232540,0.4484
41811080,0.1615
45020835,0.2403
44624983,0.0887
45183606,0.0384
44687572,0.1866
45083831,0.5469
45232260,0.1389
44633584,0.1647
45057690,0.097
44855737,0.59
45025539,0.427
45106137,0.1005
44464713,0.237
44375534,0.1469
44448048,0.0502
44522419,0.147
45079321,0.0152
45159288,0.057
41401027,0.1766
40503273,0.5592
45229568,0.3209
45143748,0.0849
45047881,0.2263
44396824,0.1706
45256206,0.0263
45157429,0.1662
45052349,0.8717
45027581,0.0263
45216887,0.312
45025536,0.0783
44657233,0.126
44759145,0.357
45046681,0.3101
45219182,0.4885
42578626,0.2552
45250656,0.046
45143537,0.1412
45142009,0.2594
44223267,0.1038
43585255,0.3406
44857859,0.309
44626653,0.1966
45088684,0.2581
45181336,0.7242
44708914,0.4237
44972736,0.3919
44868771,0.1786
45205834,0.0463
44791321,0.2776
44626770,0.1474
45037137,0.1267
44942944,0.2074
44838169,0.7108
45011234,0.1489
43403469,0.0757
44186979,0.1579
44405523,0.225
45265733,0.6246
43321672,0.0819
44741333,0.0339
45203152,0.052
44346372,0.4351
44794760,0.0706
45240187,0.1975
44432528,0.2279
45164769,0.1766
44731068,0.35
44895598,0.1442
44897223,0.7649
45077279,0.0348
45177146,0.2236
44661735,0.2405
43720201,0.1651
45147884,0.2453
45066800,0.4441
45132591,0.1307
45159585,0.2982
45186771,0.2107
43410630,0.2012
44881676,0.2283
43427039,0.0317
45108854,0.0323
45257856,0.3299
45201082,0.1711
45215996,0.21
44137008,0.0348
45011206,0.1446
45180105,0.3763
45256332,0.0951
45182521,0.2474
44884297,0.0974
45237701,0.3769
44448600,0.1274
45125514,0.6673
44598029,0.169
45099245,0.029
45240198,0.2045
44368428,0.0895
44604790,0.2637
45040570,0.2729
44256714,0.0463
43857274,0.162
45081815,0.0818
45204282,0.0626
45025394,0.042
45207820,0.1393
44050057,0.0677
45207858,0.1746
43339881,0.2883
45269300,0.241
44855742,0.117
45005790,0.258
45139147,0.121
44755193,0.0976
44732031,0.2576
45211123,0.1878
34061984,0.1589
44863961,0.5767
43937374,0.2662
45186061,0.0911
45223116,0.0504
43716508,0.2403
44881114,0.2008
43849808,0.0423
45196417,0.2914
45157309,0.0387
45212694,0.0377
43493098,0.3168
44102172,0.3282
45091675,0.2195
45017137,0.5172
44261451,0.0821
45099519,0.041
44609961,0.264
42561310,0.2624
45227685,0.0538
44351675,0.1424
43941044,0.2218
45152244,0.1615
45061945,0.5296
45131288,0.3422
44244182,0.1676
45196546,0.0353
45225361,0.2736
45215169,0.2105
45077493,0.365
45021898,0.6136
44797875,0.434
43697094,0.329
45184357,0.5831
45091266,0.1567
44881404,0.0538
44923306,0.1363
45247385,0.3013
45237769,0.2852
45235440,0.2783
45153903,0.1374
45195213,0.0822
44826909,0.2076
44466982,0.2498
44283417,0.2852
45237438,0.3025
43173312,0.3978
45057486,0.2972
44870510,0.1032
45138926,0.6128
44466877,0.3491
44874356,0.2806
44326394,0.0897
43517731,0.3753
45240735,0.1808
44986315,0.1814
45096611,0.3197
45252017,0.0323
44902908,0.1507
45197190,0.5179
45228207,0.1047
44854900,0.0992
45144414,0.2415
45118041,0.4568
45224442,0.1619
45252887,0.0869
45026281,0.2424
42953705,0.0396
44348188,0.4634
44904491,0.5005
45247231,0.6745
44903568,0.1793
42180154,0.1864
45008472,0.2135
43017696,0.0918
44953673,0.2651
45206386,0.3464
45145693,0.057
44818736,0.1884
45257726,0.0832
45036689,0.0647
44907937,0.5746
44997886,0.2743
43789474,0.0926
44836443,0.0861
44615822,0.0317
45135481,0.0919
44566903,0.3181
44890833,0.1574
44807468,0.3984
45154419,0.1018
44743191,0.2922
45201374,0.2882
43748419,0.356
44477261,0.2483
41003332,0.7736
45214928,0.0366
44119225,0.0358
43717341,0.0797
45047879,0.3335
45012028,0.3077
45145097,0.4754
45236710,0.9508
45128308,0.1324
44827360,0.2226
45227552,0.0569
44173180,0.1895
45171748,0.2306
44682333,0.488
45005189,0.2392
43845241,0.1001
44106049,0.185
44998731,0.3314
45197139,0.0444
43732616,0.106
45025194,0.2317
44988147,0.0358
39465019,0.2585
45148338,0.2465
45196395,0.2714
45175377,0.5192
45220106,0.1671
44770429,0.091
45204924,0.2971
44241399,0.1586
45189879,0.0896
43612771,0.0845
44125126,0.2284
44872651,0.1933
44218641,0.4731
44578203,0.2818
45025690,0.1774
44786304,0.1989
44772828,0.2417
45255223,0.5453
44632687,0.0743
44858898,0.3432
45150585,0.3367
44450031,0.318
45042578,0.2928
45214777,0.1133
42742297,0.38
44738219,0.2521
43344418,0.9666
45244830,0.1292
41774490,0.1604
44829409,0.2879
44930313,0.1936
43232221,0.3375
44965701,0.0253
44842280,0.3339
44940548,0.2986
45110126,0.2714
43241856,0.3726
45143586,0.1151
45154503,0.2818
45266795,0.4278
45009771,0.2668
45215261,0.3106
44558902,0.4641
45029240,0.2424
42491572,0.0433
45241427,0.0513
44939112,0.157
45160024,0.1521
45093806,0.2097
45039538,0.323
44952217,0.1637
38237735,0.0755
44762845,0.5654
45269189,0.1784
43683976,0.042
45117835,0.2172
45228050,0.1427
45137809,0.5412
45172641,0.4268
43715977,0.6089
45175886,0.0353
44106429,0.101
44869947,0.0263
44795201,0.3317
44812725,0.3301
45084721,0.146
45062392,0.3598
45237993,0.0469
44829093,0.056
45210229,0.5261
45245743,0.1082
45192745,0.2167
45219816,0.2701
45255963,0.5477
45246268,0.2206
44867479,0.3817
45159379,0.4297
44582359,0.1432
43649617,0.2399
45192813,0.085
45088747,0.1541
45056277,0.3529
45202949,0.1637
45172791,0.1555
43695382,0.1017
44671246,0.0808
44958480,0.3415
45156333,0.1837
44907969,0.0323
44417445,0.3854
45043941,0.057
44483330,0.3891
44404341,0.613
44979444,0.1279
45075027,0.0798
44456588,0.3645
45221822,0.2702
43981027,0.307
44945779,0.2599
45127299,0.7432
45078935,0.2629
45188401,0.3948
45190095,0.2536
45177634,0.1765
44756781,0.0698
39770672,0.2703
44748012,0.3046
44955264,0.3353
45236779,0.1307
44666611,0.2532
44880200,0.3684
44958631,0.1989
44637565,0.0451
45161667,0.4281
45075802,0.5231
44922077,0.2033
45189282,0.5176
45203024,0.6239
45205957,0.226
