attr,related,weight,group
garage,parking,0.85,amenity
parking,garage,0.85,amenity
parking,elevator,0.25,amenity
balcony,terrace,0.65,amenity
terrace,balcony,0.65,amenity
garden,near_park,0.4,amenity
garden,park,0.35,amenity
near_park,park,0.52,amenity
near_park,garden,0.4,amenity
near_park,near_school,0.28,amenity
park,kids_playground,0.78,amenity
park,near_park,0.52,amenity
park,gym,0.45,amenity
park,bbq,0.42,amenity
park,sports_court,0.38,amenity
park,garden,0.35,amenity
park,pool,0.32,amenity
gym,sports_court,0.9,amenity
gym,park,0.45,amenity
gym,pool,0.35,amenity
sports_court,gym,0.9,amenity
sports_court,park,0.38,amenity
pool,gym,0.35,amenity
pool,park,0.32,amenity
kids_playground,park,0.78,amenity
kids_playground,bbq,0.3,amenity
kids_playground,near_school,0.3,amenity
bbq,park,0.42,amenity
bbq,kids_playground,0.3,amenity
security_24h,reception,0.55,amenity
reception,security_24h,0.55,amenity
near_metro,near_bus,0.68,amenity
near_metro,near_highway,0.44,amenity
near_bus,near_metro,0.68,amenity
near_bus,near_highway,0.4,amenity
near_highway,near_metro,0.44,amenity
near_highway,near_bus,0.4,amenity
near_mall,near_market,0.74,amenity
near_market,near_mall,0.74,amenity
near_school,kids_playground,0.3,amenity
near_school,near_park,0.28,amenity
river_view,park_view,0.54,amenity
park_view,river_view,0.54,amenity
park_view,city_view,0.26,amenity
city_view,park_view,0.26,amenity
elevator,parking,0.25,amenity
gia_thap,don_gia_thap,0.7,criteria
gia_thap,dien_tich_nho,0.55,criteria
gia_thap,vi_tri_ngoai_thanh,0.55,criteria
gia_thap,gia_trung_binh,0.5,criteria
gia_thap,noi_that_co_ban,0.45,criteria
gia_thap,hop_dong_mua_ban,0.4,criteria
gia_thap,dang_cho_so,0.35,criteria
gia_trung_binh,gia_thap,0.5,criteria
gia_trung_binh,gia_cao,0.5,criteria
gia_trung_binh,dien_tich_vua,0.45,criteria
gia_trung_binh,don_gia_thap,0.4,criteria
gia_cao,vi_tri_trung_tam,0.55,criteria
gia_cao,gia_trung_binh,0.5,criteria
gia_cao,gia_rat_cao,0.5,criteria
gia_cao,don_gia_cao,0.5,criteria
gia_cao,dien_tich_lon,0.5,criteria
gia_cao,so_hong_rieng,0.35,criteria
gia_cao,huong_tot,0.25,criteria
gia_rat_cao,don_gia_cao,0.7,criteria
gia_rat_cao,vi_tri_trung_tam,0.6,criteria
gia_rat_cao,gia_cao,0.5,criteria
gia_rat_cao,dien_tich_rat_lon,0.5,criteria
gia_rat_cao,noi_that_day_du,0.5,criteria
gia_rat_cao,view_dep,0.5,criteria
gia_rat_cao,co_ho_boi,0.45,criteria
gia_rat_cao,co_gym,0.4,criteria
don_gia_thap,gia_thap,0.7,criteria
don_gia_thap,gia_trung_binh,0.4,criteria
don_gia_cao,gia_rat_cao,0.7,criteria
don_gia_cao,vi_tri_trung_tam,0.6,criteria
don_gia_cao,gia_cao,0.5,criteria
dien_tich_nho,it_phong_ngu,0.75,criteria
dien_tich_nho,gia_thap,0.55,criteria
dien_tich_nho,dien_tich_vua,0.5,criteria
dien_tich_vua,dien_tich_nho,0.5,criteria
dien_tich_vua,dien_tich_lon,0.5,criteria
dien_tich_vua,gia_trung_binh,0.45,criteria
dien_tich_vua,it_phong_ngu,0.4,criteria
dien_tich_vua,nhieu_phong_ngu,0.35,criteria
dien_tich_lon,nhieu_phong_ngu,0.75,criteria
dien_tich_lon,dien_tich_vua,0.5,criteria
dien_tich_lon,dien_tich_rat_lon,0.5,criteria
dien_tich_lon,gia_cao,0.5,criteria
dien_tich_lon,vi_tri_ngoai_thanh,0.5,criteria
dien_tich_rat_lon,nhieu_phong_ngu,0.8,criteria
dien_tich_rat_lon,dien_tich_lon,0.5,criteria
dien_tich_rat_lon,gia_rat_cao,0.5,criteria
it_phong_ngu,dien_tich_nho,0.75,criteria
it_phong_ngu,dien_tich_vua,0.4,criteria
nhieu_phong_ngu,dien_tich_rat_lon,0.8,criteria
nhieu_phong_ngu,dien_tich_lon,0.75,criteria
nhieu_phong_ngu,dien_tich_vua,0.35,criteria
vi_tri_trung_tam,tien_ich_thuong_mai,0.65,criteria
vi_tri_trung_tam,don_gia_cao,0.6,criteria
vi_tri_trung_tam,tien_ich_giao_thong,0.6,criteria
vi_tri_trung_tam,gia_rat_cao,0.6,criteria
vi_tri_trung_tam,tien_ich_giai_tri,0.55,criteria
vi_tri_trung_tam,gia_cao,0.55,criteria
vi_tri_trung_tam,tien_ich_y_te,0.5,criteria
vi_tri_trung_tam,tien_ich_giao_duc,0.45,criteria
vi_tri_trung_tam,vi_tri_can_trung_tam,0.45,criteria
vi_tri_trung_tam,an_ninh_tot,0.4,criteria
gan_truong_hoc,tien_ich_giao_duc,0.85,criteria
tien_ich_giao_duc,gan_truong_hoc,0.85,criteria
tien_ich_giao_duc,vi_tri_trung_tam,0.45,criteria
tien_ich_giao_duc,tien_ich_thuong_mai,0.4,criteria
tien_ich_giao_duc,tien_ich_y_te,0.35,criteria
tien_ich_giao_duc,tien_ich_giao_thong,0.3,criteria
gan_benh_vien,tien_ich_y_te,0.85,criteria
tien_ich_y_te,gan_benh_vien,0.85,criteria
tien_ich_y_te,vi_tri_trung_tam,0.5,criteria
tien_ich_y_te,tien_ich_giao_duc,0.35,criteria
tien_ich_y_te,tien_ich_thuong_mai,0.35,criteria
gan_sieu_thi,tien_ich_thuong_mai,0.85,criteria
tien_ich_thuong_mai,gan_sieu_thi,0.85,criteria
