result_set_id,user_id,session_id,timestamp,algorithm_version,raw_query,inferred_intent,budget_group,filter_district,filter_price_max,filter_bedrooms,listing_id,retrieval_rank,score,matched_features,partial_match_features,llm_chosen,llm_rank,explanation,comparison,model_name
rs_300000,usr_1000,sess_1000_1,2026-02-17T21:52:33Z,ward_tiered_v3,nhà đất Phường Tân Định rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45192150,0,0.716,near_school,kids_playground~park,1,0.0,"Nhà đất tại Phường Tân Định, 2.58 tỷ, 1PN — hợp vì near_school.",,template_v1
rs_300000,usr_1000,sess_1000_1,2026-02-17T21:52:33Z,ward_tiered_v3,nhà đất Phường Tân Định rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45135481,1,0.548,,,1,1.0,"Nhà đất tại Phường Tân Định, 2.58 tỷ, 1PN — hợp vì vị trí và tầm giá phù hợp.",,template_v1
rs_300000,usr_1000,sess_1000_1,2026-02-17T21:52:33Z,ward_tiered_v3,nhà đất Phường Tân Định rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45171748,2,0.502,near_school,kids_playground~park,1,2.0,"Nhà đất tại Phường Tân Định, 7.95 tỷ, 4PN — hợp vì near_school.",,template_v1
rs_300000,usr_1000,sess_1000_1,2026-02-17T21:52:33Z,ward_tiered_v3,nhà đất Phường Tân Định rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,43928437,3,0.503,near_school,kids_playground~park,0,,,,
rs_300000,usr_1000,sess_1000_1,2026-02-17T21:52:33Z,ward_tiered_v3,nhà đất Phường Tân Định rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,43827262,4,0.409,near_school,,0,,,,
rs_300000,usr_1000,sess_1000_1,2026-02-17T21:52:33Z,ward_tiered_v3,nhà đất Phường Tân Định rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,44278606,5,0.386,near_school,,0,,,,
rs_300000,usr_1000,sess_1000_1,2026-02-17T21:52:33Z,ward_tiered_v3,nhà đất Phường Tân Định rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45268389,6,0.321,,,0,,,,
rs_300000,usr_1000,sess_1000_1,2026-02-17T21:52:33Z,ward_tiered_v3,nhà đất Phường Tân Định rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,43931812,7,0.323,,kids_playground~park,0,,,,
rs_300000,usr_1000,sess_1000_1,2026-02-17T21:52:33Z,ward_tiered_v3,nhà đất Phường Tân Định rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45076045,8,0.311,,,0,,,,
rs_300000,usr_1000,sess_1000_1,2026-02-17T21:52:33Z,ward_tiered_v3,nhà đất Phường Tân Định rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45237769,9,0.322,,,0,,,,
