result_set_id,user_id,session_id,timestamp,algorithm_version,raw_query,inferred_intent,budget_group,filter_district,filter_price_max,filter_bedrooms,listing_id,retrieval_rank,score,matched_features,partial_match_features,llm_chosen,llm_rank,explanation,comparison,model_name
rs_300000,usr_1000,sess_1000_1,2026-02-17T21:52:33Z,claude_rerank_v3,nhà đất Phường Tân Định rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45192150,0,0.716,near_school,kids_playground~park,1,0.0,"Nhà đất tại Phường Tân Định, 1PN, 15.0m2, giá 2.58 tỷ, chỉ nhỉnh hơn mức trần 2.4 tỷ một chút, chưa đạt tối thiểu 2 phòng ngủ, có gần trường học, tiện cho gia đình nhờ công viên, gần bệnh viện.",Khớp nhiều tiện ích ưa thích nhất (gần trường học).,claude-agent-rerank
rs_300000,usr_1000,sess_1000_1,2026-02-17T21:52:33Z,claude_rerank_v3,nhà đất Phường Tân Định rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45135481,1,0.548,,,1,1.0,"Nhà đất tại Phường Tân Định, 1PN, 15.0m2, giá 2.58 tỷ, chỉ nhỉnh hơn mức trần 2.4 tỷ một chút, chưa đạt tối thiểu 2 phòng ngủ.",Giá 2.58 tỷ thấp nhất trong nhóm cùng loại Nhà đất.,claude-agent-rerank
rs_300000,usr_1000,sess_1000_1,2026-02-17T21:52:33Z,claude_rerank_v3,nhà đất Phường Tân Định rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45171748,2,0.502,near_school,kids_playground~park,0,,,,
rs_300000,usr_1000,sess_1000_1,2026-02-17T21:52:33Z,claude_rerank_v3,nhà đất Phường Tân Định rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,43928437,3,0.503,near_school,kids_playground~park,0,,,,
rs_300000,usr_1000,sess_1000_1,2026-02-17T21:52:33Z,claude_rerank_v3,nhà đất Phường Tân Định rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,43827262,4,0.409,near_school,,0,,,,
rs_300000,usr_1000,sess_1000_1,2026-02-17T21:52:33Z,claude_rerank_v3,nhà đất Phường Tân Định rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,44278606,5,0.386,near_school,,0,,,,
rs_300000,usr_1000,sess_1000_1,2026-02-17T21:52:33Z,claude_rerank_v3,nhà đất Phường Tân Định rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45268389,6,0.321,,,0,,,,
rs_300000,usr_1000,sess_1000_1,2026-02-17T21:52:33Z,claude_rerank_v3,nhà đất Phường Tân Định rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,43931812,7,0.323,,kids_playground~park,0,,,,
rs_300000,usr_1000,sess_1000_1,2026-02-17T21:52:33Z,claude_rerank_v3,nhà đất Phường Tân Định rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45076045,8,0.311,,,0,,,,
rs_300000,usr_1000,sess_1000_1,2026-02-17T21:52:33Z,claude_rerank_v3,nhà đất Phường Tân Định rẻ một chút cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45237769,9,0.322,,,1,2.0,"Nhà đất tại Phường Tân Định, 2PN, 29.5m2, giá 6.5 tỷ, giá cao hơn ngân sách 2.0-2.4 tỷ, đủ tối thiểu 2 phòng ngủ.","Cân đối giữa giá 6.5 tỷ, 2PN và 29.5m2.",claude-agent-rerank
rs_300001,usr_1000,sess_1000_0,2026-02-18T18:03:38Z,claude_rerank_v3,nhà đất Phường Tân Định giá mềm cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45192150,0,0.715,near_school,kids_playground~park,1,0.0,"Nhà đất tại Phường Tân Định, 1PN, 15.0m2, giá 2.58 tỷ, chỉ nhỉnh hơn mức trần 2.4 tỷ một chút, chưa đạt tối thiểu 2 phòng ngủ, có gần trường học, tiện cho gia đình nhờ công viên, gần bệnh viện.",Khớp nhiều tiện ích ưa thích nhất (gần trường học).,claude-agent-rerank
rs_300001,usr_1000,sess_1000_0,2026-02-18T18:03:38Z,claude_rerank_v3,nhà đất Phường Tân Định giá mềm cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45135481,1,0.551,,,1,1.0,"Nhà đất tại Phường Tân Định, 1PN, 15.0m2, giá 2.58 tỷ, chỉ nhỉnh hơn mức trần 2.4 tỷ một chút, chưa đạt tối thiểu 2 phòng ngủ.",Giá 2.58 tỷ thấp nhất trong nhóm cùng loại Nhà đất.,claude-agent-rerank
rs_300001,usr_1000,sess_1000_0,2026-02-18T18:03:38Z,claude_rerank_v3,nhà đất Phường Tân Định giá mềm cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45171748,2,0.517,near_school,kids_playground~park,0,,,,
rs_300001,usr_1000,sess_1000_0,2026-02-18T18:03:38Z,claude_rerank_v3,nhà đất Phường Tân Định giá mềm cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,43928437,3,0.519,near_school,kids_playground~park,0,,,,
rs_300001,usr_1000,sess_1000_0,2026-02-18T18:03:38Z,claude_rerank_v3,nhà đất Phường Tân Định giá mềm cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,43827262,4,0.39,near_school,,0,,,,
rs_300001,usr_1000,sess_1000_0,2026-02-18T18:03:38Z,claude_rerank_v3,nhà đất Phường Tân Định giá mềm cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,44278606,5,0.369,near_school,,0,,,,
rs_300001,usr_1000,sess_1000_0,2026-02-18T18:03:38Z,claude_rerank_v3,nhà đất Phường Tân Định giá mềm cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45268389,6,0.297,,,0,,,,
rs_300001,usr_1000,sess_1000_0,2026-02-18T18:03:38Z,claude_rerank_v3,nhà đất Phường Tân Định giá mềm cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,43931812,7,0.309,,kids_playground~park,0,,,,
rs_300001,usr_1000,sess_1000_0,2026-02-18T18:03:38Z,claude_rerank_v3,nhà đất Phường Tân Định giá mềm cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45076045,8,0.317,,,0,,,,
rs_300001,usr_1000,sess_1000_0,2026-02-18T18:03:38Z,claude_rerank_v3,nhà đất Phường Tân Định giá mềm cho gia đình,buy_for_living,affordable,Phường Tân Định,2.4,2,45237769,9,0.326,,,1,2.0,"Nhà đất tại Phường Tân Định, 2PN, 29.5m2, giá 6.5 tỷ, giá cao hơn ngân sách 2.0-2.4 tỷ, đủ tối thiểu 2 phòng ngủ.","Cân đối giữa giá 6.5 tỷ, 2PN và 29.5m2.",claude-agent-rerank
rs_300002,usr_1001,sess_1001_2,2026-04-20T08:51:41Z,claude_rerank_v3,"nhà ở Phường Đức Nhuận thoáng mát 2pn, bình dân",buy_for_living,affordable,Phường Đức Nhuận,2.4,2,44723700,0,0.686,near_school,kids_playground~park,1,0.0,"Căn hộ tại Phường Đức Nhuận, 2PN, 60.0m2, giá 3.6 tỷ, giá cao hơn ngân sách 1.9-2.4 tỷ, đủ tối thiểu 2 phòng ngủ, có gần trường học, tiện cho gia đình nhờ công viên.",Khớp nhiều tiện ích ưa thích nhất (gần trường học).,claude-agent-rerank
rs_300002,usr_1001,sess_1001_2,2026-04-20T08:51:41Z,claude_rerank_v3,"nhà ở Phường Đức Nhuận thoáng mát 2pn, bình dân",buy_for_living,affordable,Phường Đức Nhuận,2.4,2,45075183,1,0.559,,,1,1.0,"Nhà đất tại Phường Đức Nhuận, 1PN, 9.4m2, giá 2.3 tỷ, nằm trong ngân sách 1.9-2.4 tỷ, chưa đạt tối thiểu 2 phòng ngủ.",Là số ít căn vừa đúng loại vừa nằm trong ngân sách.,claude-agent-rerank
rs_300002,usr_1001,sess_1001_2,2026-04-20T08:51:41Z,claude_rerank_v3,"nhà ở Phường Đức Nhuận thoáng mát 2pn, bình dân",buy_for_living,affordable,Phường Đức Nhuận,2.4,2,45082533,2,0.577,,,1,2.0,"Nhà đất tại Phường Đức Nhuận, 1PN, 9.4m2, giá 2.3 tỷ, nằm trong ngân sách 1.9-2.4 tỷ, chưa đạt tối thiểu 2 phòng ngủ.",Giá 2.3 tỷ thấp nhất trong nhóm cùng loại Nhà đất.,claude-agent-rerank
rs_300002,usr_1001,sess_1001_2,2026-04-20T08:51:41Z,claude_rerank_v3,"nhà ở Phường Đức Nhuận thoáng mát 2pn, bình dân",buy_for_living,affordable,Phường Đức Nhuận,2.4,2,45252566,3,0.501,near_school,,0,,,,
rs_300002,usr_1001,sess_1001_2,2026-04-20T08:51:41Z,claude_rerank_v3,"nhà ở Phường Đức Nhuận thoáng mát 2pn, bình dân",buy_for_living,affordable,Phường Đức Nhuận,2.4,2,45264351,4,0.488,near_school,kids_playground~park,0,,,,
rs_300002,usr_1001,sess_1001_2,2026-04-20T08:51:41Z,claude_rerank_v3,"nhà ở Phường Đức Nhuận thoáng mát 2pn, bình dân",buy_for_living,affordable,Phường Đức Nhuận,2.4,2,45133836,5,0.491,near_school,,0,,,,
rs_300002,usr_1001,sess_1001_2,2026-04-20T08:51:41Z,claude_rerank_v3,"nhà ở Phường Đức Nhuận thoáng mát 2pn, bình dân",buy_for_living,affordable,Phường Đức Nhuận,2.4,2,45207820,6,0.517,near_school,kids_playground~park,0,,,,
rs_300002,usr_1001,sess_1001_2,2026-04-20T08:51:41Z,claude_rerank_v3,"nhà ở Phường Đức Nhuận thoáng mát 2pn, bình dân",buy_for_living,affordable,Phường Đức Nhuận,2.4,2,45242428,7,0.491,near_school,kids_playground~park,0,,,,
